### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=312]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 312 (seed = 31727) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.21  time = 2151   
 10/200   risk = 0.16  time = 4752   
 15/200   risk = 0.13  time = 7319   
 20/200   risk = 0.1  time = 9835   
 25/200   risk = 0.086  time = 12255   
 30/200   risk = 0.075  time = 14791   
 35/200   risk = 0.066  time = 17258   
 40/200   risk = 0.06  time = 20325   
 45/200   risk = 0.056  time = 22725   
 50/200   risk = 0.052  time = 25541   
 55/200   risk = 0.05  time = 28034   
 60/200   risk = 0.047  time = 30499   
 65/200   risk = 0.046  time = 33001   
 70/200   risk = 0.044  time = 35493   
 75/200   risk = 0.043  time = 38190   
 80/200   risk = 0.042  time = 42599   
 85/200   risk = 0.041  time = 47336   
 90/200   risk = 0.04  time = 52399   
 95/200   risk = 0.04  time = 56586   
100/200   risk = 0.039  time = 60965   
105/200   risk = 0.039  time = 65334   
110/200   risk = 0.038  time = 69581   
115/200   risk = 0.038  time = 73728   
120/200   risk = 0.037  time = 77549   
125/200   risk = 0.037  time = 81826   
130/200   risk = 0.037  time = 86021   
135/200   risk = 0.036  time = 90194   
140/200   risk = 0.036  time = 94207   
145/200   risk = 0.036  time = 98161   
150/200   risk = 0.036  time = 100621   
155/200   risk = 0.035  time = 103073   
160/200   risk = 0.035  time = 105675   
165/200   risk = 0.035  time = 108159   
170/200   risk = 0.035  time = 110537   
175/200   risk = 0.035  time = 113346   
180/200   risk = 0.034  time = 115960   
185/200   risk = 0.034  time = 118610   
190/200   risk = 0.034  time = 121296   
195/200   risk = 0.034  time = 123955   
200/200   risk = 0.034  time = 126791   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.034


### [bt]: Job terminated successfully [batchtools job.id=312]
### [bt]: Calculation finished!
