### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4010]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4010 (seed = 35425) ...
  1/200   risk = 0.19  time = 0   
  5/200   risk = 0.14  time = 449   
 10/200   risk = 0.1  time = 807   
 15/200   risk = 0.077  time = 1147   
 20/200   risk = 0.061  time = 1493   
 25/200   risk = 0.05  time = 1870   
 30/200   risk = 0.043  time = 2219   
 35/200   risk = 0.038  time = 2575   
 40/200   risk = 0.034  time = 2910   
 45/200   risk = 0.032  time = 3237   
 50/200   risk = 0.03  time = 3586   
 55/200   risk = 0.029  time = 3933   
 60/200   risk = 0.028  time = 4281   
 65/200   risk = 0.027  time = 4649   
 70/200   risk = 0.026  time = 4984   
 75/200   risk = 0.026  time = 5296   
 80/200   risk = 0.025  time = 5591   
 85/200   risk = 0.025  time = 5881   
 90/200   risk = 0.025  time = 6165   
 95/200   risk = 0.024  time = 6451   
100/200   risk = 0.024  time = 6737   
105/200   risk = 0.024  time = 7030   
110/200   risk = 0.024  time = 7358   
115/200   risk = 0.023  time = 7653   
120/200   risk = 0.023  time = 7942   
125/200   risk = 0.023  time = 8230   
130/200   risk = 0.023  time = 8542   
135/200   risk = 0.023  time = 8847   
140/200   risk = 0.023  time = 9146   
145/200   risk = 0.023  time = 9467   
150/200   risk = 0.022  time = 9788   
155/200   risk = 0.022  time = 10138   
160/200   risk = 0.022  time = 10513   
165/200   risk = 0.022  time = 10879   
170/200   risk = 0.022  time = 11245   
175/200   risk = 0.022  time = 11607   
180/200   risk = 0.022  time = 11986   
185/200   risk = 0.022  time = 12369   
190/200   risk = 0.022  time = 12742   
195/200   risk = 0.022  time = 13117   
200/200   risk = 0.022  time = 13496   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=4010]
### [bt]: Calculation finished!
