### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3586]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3586 (seed = 35001) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.25  time = 1739   
 10/200   risk = 0.21  time = 3436   
 15/200   risk = 0.19  time = 5015   
 20/200   risk = 0.17  time = 6678   
 25/200   risk = 0.16  time = 8330   
 30/200   risk = 0.15  time = 18126   
 35/200   risk = 0.14  time = 19948   
 40/200   risk = 0.14  time = 21828   
 45/200   risk = 0.13  time = 30287   
 50/200   risk = 0.13  time = 32317   
 55/200   risk = 0.12  time = 58771   
 60/200   risk = 0.12  time = 62553   
 65/200   risk = 0.12  time = 64398   
 70/200   risk = 0.12  time = 66489   
 75/200   risk = 0.12  time = 116138   
 80/200   risk = 0.12  time = 117695   
 85/200   risk = 0.11  time = 121305   
 90/200   risk = 0.11  time = 138535   
 95/200   risk = 0.11  time = 142852   
100/200   risk = 0.11  time = 160041   
105/200   risk = 0.11  time = 163247   
110/200   risk = 0.11  time = 166335   
115/200   risk = 0.11  time = 180362   
120/200   risk = 0.11  time = 186448   
125/200   risk = 0.11  time = 190634   
130/200   risk = 0.11  time = 204335   
135/200   risk = 0.11  time = 212773   
140/200   risk = 0.11  time = 216773   
145/200   risk = 0.11  time = 230000   
150/200   risk = 0.11  time = 242017   
155/200   risk = 0.11  time = 246735   
160/200   risk = 0.11  time = 251005   
165/200   risk = 0.11  time = 259113   
170/200   risk = 0.11  time = 273169   
175/200   risk = 0.11  time = 279344   
180/200   risk = 0.11  time = 282568   
185/200   risk = 0.11  time = 290472   
190/200   risk = 0.11  time = 298128   
195/200   risk = 0.11  time = 304623   
200/200   risk = 0.11  time = 307885   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.11


### [bt]: Job terminated successfully [batchtools job.id=3586]
### [bt]: Calculation finished!
