### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=89]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 89 (seed = 31504) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.21  time = 126   
 10/200   risk = 0.16  time = 239   
 15/200   risk = 0.13  time = 326   
 20/200   risk = 0.11  time = 410   
 25/200   risk = 0.092  time = 494   
 30/200   risk = 0.081  time = 573   
 35/200   risk = 0.073  time = 656   
 40/200   risk = 0.067  time = 742   
 45/200   risk = 0.063  time = 829   
 50/200   risk = 0.059  time = 915   
 55/200   risk = 0.057  time = 1001   
 60/200   risk = 0.055  time = 1089   
 65/200   risk = 0.053  time = 1188   
 70/200   risk = 0.052  time = 1285   
 75/200   risk = 0.051  time = 1376   
 80/200   risk = 0.05  time = 1467   
 85/200   risk = 0.049  time = 1561   
 90/200   risk = 0.048  time = 1654   
 95/200   risk = 0.047  time = 1746   
100/200   risk = 0.047  time = 1839   
105/200   risk = 0.046  time = 1933   
110/200   risk = 0.046  time = 2033   
115/200   risk = 0.045  time = 2131   
120/200   risk = 0.045  time = 2230   
125/200   risk = 0.044  time = 2330   
130/200   risk = 0.044  time = 2432   
135/200   risk = 0.044  time = 2532   
140/200   risk = 0.044  time = 2635   
145/200   risk = 0.043  time = 2738   
150/200   risk = 0.043  time = 2837   
155/200   risk = 0.043  time = 2940   
160/200   risk = 0.043  time = 3039   
165/200   risk = 0.042  time = 3141   
170/200   risk = 0.042  time = 3264   
175/200   risk = 0.042  time = 3397   
180/200   risk = 0.042  time = 3503   
185/200   risk = 0.042  time = 3612   
190/200   risk = 0.042  time = 3719   
195/200   risk = 0.042  time = 3834   
200/200   risk = 0.041  time = 3950   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.041


### [bt]: Job terminated successfully [batchtools job.id=89]
### [bt]: Calculation finished!
