### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=835]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 835 (seed = 32250) ...
  1/200   risk = 0.25  time = 0   
  5/200   risk = 0.21  time = 369   
 10/200   risk = 0.16  time = 665   
 15/200   risk = 0.13  time = 986   
 20/200   risk = 0.11  time = 1274   
 25/200   risk = 0.097  time = 1452   
 30/200   risk = 0.087  time = 1620   
 35/200   risk = 0.079  time = 1793   
 40/200   risk = 0.074  time = 1982   
 45/200   risk = 0.07  time = 2163   
 50/200   risk = 0.067  time = 2336   
 55/200   risk = 0.065  time = 2514   
 60/200   risk = 0.064  time = 2689   
 65/200   risk = 0.062  time = 2895   
 70/200   risk = 0.061  time = 3068   
 75/200   risk = 0.061  time = 3243   
 80/200   risk = 0.06  time = 3415   
 85/200   risk = 0.06  time = 3585   
 90/200   risk = 0.059  time = 3759   
 95/200   risk = 0.059  time = 3948   
100/200   risk = 0.059  time = 4127   
105/200   risk = 0.058  time = 4307   
110/200   risk = 0.058  time = 4487   
115/200   risk = 0.058  time = 4667   
120/200   risk = 0.058  time = 4866   
125/200   risk = 0.057  time = 5055   
130/200   risk = 0.057  time = 5246   
135/200   risk = 0.057  time = 5439   
140/200   risk = 0.057  time = 5631   
145/200   risk = 0.057  time = 5821   
150/200   risk = 0.056  time = 6013   
155/200   risk = 0.056  time = 6222   
160/200   risk = 0.056  time = 6506   
165/200   risk = 0.056  time = 6704   
170/200   risk = 0.056  time = 6898   
175/200   risk = 0.056  time = 7092   
180/200   risk = 0.056  time = 7289   
185/200   risk = 0.056  time = 7485   
190/200   risk = 0.055  time = 7684   
195/200   risk = 0.055  time = 7898   
200/200   risk = 0.055  time = 8104   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.055


### [bt]: Job terminated successfully [batchtools job.id=835]
### [bt]: Calculation finished!
