### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2165]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2165 (seed = 33580) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.22  time = 262   
 10/200   risk = 0.18  time = 426   
 15/200   risk = 0.16  time = 539   
 20/200   risk = 0.14  time = 648   
 25/200   risk = 0.13  time = 780   
 30/200   risk = 0.12  time = 904   
 35/200   risk = 0.11  time = 1020   
 40/200   risk = 0.11  time = 1142   
 45/200   risk = 0.1  time = 1271   
 50/200   risk = 0.1  time = 1390   
 55/200   risk = 0.1  time = 1514   
 60/200   risk = 0.1  time = 1645   
 65/200   risk = 0.099  time = 1770   
 70/200   risk = 0.098  time = 1893   
 75/200   risk = 0.098  time = 2022   
 80/200   risk = 0.098  time = 2165   
 85/200   risk = 0.098  time = 2337   
 90/200   risk = 0.097  time = 2486   
 95/200   risk = 0.097  time = 2627   
100/200   risk = 0.097  time = 2800   
105/200   risk = 0.097  time = 2935   
110/200   risk = 0.097  time = 3067   
115/200   risk = 0.097  time = 3197   
120/200   risk = 0.097  time = 3329   
125/200   risk = 0.097  time = 3467   
130/200   risk = 0.097  time = 3623   
135/200   risk = 0.097  time = 3801   
140/200   risk = 0.097  time = 4011   
145/200   risk = 0.097  time = 4213   
150/200   risk = 0.097  time = 4440   
155/200   risk = 0.097  time = 4647   
160/200   risk = 0.097  time = 4868   
165/200   risk = 0.097  time = 5062   
170/200   risk = 0.097  time = 5217   
175/200   risk = 0.097  time = 5356   
180/200   risk = 0.097  time = 5504   
185/200   risk = 0.097  time = 5645   
190/200   risk = 0.097  time = 5800   
195/200   risk = 0.097  time = 5948   
200/200   risk = 0.097  time = 6146   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.097


### [bt]: Job terminated successfully [batchtools job.id=2165]
### [bt]: Calculation finished!
