### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4224]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4224 (seed = 35639) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.15  time = 1206   
 10/200   risk = 0.11  time = 2756   
 15/200   risk = 0.08  time = 4457   
 20/200   risk = 0.063  time = 6029   
 25/200   risk = 0.052  time = 7547   
 30/200   risk = 0.044  time = 9068   
 35/200   risk = 0.039  time = 10583   
 40/200   risk = 0.035  time = 12110   
 45/200   risk = 0.033  time = 13662   
 50/200   risk = 0.031  time = 15231   
 55/200   risk = 0.03  time = 16756   
 60/200   risk = 0.028  time = 18295   
 65/200   risk = 0.028  time = 19886   
 70/200   risk = 0.027  time = 21441   
 75/200   risk = 0.026  time = 22971   
 80/200   risk = 0.026  time = 24490   
 85/200   risk = 0.026  time = 26021   
 90/200   risk = 0.025  time = 27542   
 95/200   risk = 0.025  time = 29098   
100/200   risk = 0.025  time = 30630   
105/200   risk = 0.025  time = 32158   
110/200   risk = 0.024  time = 33687   
115/200   risk = 0.024  time = 35295   
120/200   risk = 0.024  time = 36829   
125/200   risk = 0.024  time = 38418   
130/200   risk = 0.024  time = 40011   
135/200   risk = 0.024  time = 41601   
140/200   risk = 0.023  time = 43199   
145/200   risk = 0.023  time = 44773   
150/200   risk = 0.023  time = 46265   
155/200   risk = 0.023  time = 47825   
160/200   risk = 0.023  time = 49372   
165/200   risk = 0.023  time = 50902   
170/200   risk = 0.023  time = 52451   
175/200   risk = 0.023  time = 54032   
180/200   risk = 0.023  time = 55584   
185/200   risk = 0.023  time = 57124   
190/200   risk = 0.023  time = 58673   
195/200   risk = 0.023  time = 60215   
200/200   risk = 0.023  time = 61781   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=4224]
### [bt]: Calculation finished!
