### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3318]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3318 (seed = 34733) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 542   
 10/200   risk = 0.19  time = 1122   
 15/200   risk = 0.16  time = 1768   
 20/200   risk = 0.14  time = 2365   
 25/200   risk = 0.12  time = 2968   
 30/200   risk = 0.11  time = 3579   
 35/200   risk = 0.1  time = 4183   
 40/200   risk = 0.097  time = 4793   
 45/200   risk = 0.092  time = 5411   
 50/200   risk = 0.088  time = 6012   
 55/200   risk = 0.085  time = 6588   
 60/200   risk = 0.082  time = 7193   
 65/200   risk = 0.08  time = 7809   
 70/200   risk = 0.079  time = 8424   
 75/200   risk = 0.078  time = 9056   
 80/200   risk = 0.077  time = 9686   
 85/200   risk = 0.076  time = 10319   
 90/200   risk = 0.075  time = 11010   
 95/200   risk = 0.075  time = 11656   
100/200   risk = 0.075  time = 12305   
105/200   risk = 0.074  time = 12955   
110/200   risk = 0.074  time = 13633   
115/200   risk = 0.074  time = 14288   
120/200   risk = 0.073  time = 14944   
125/200   risk = 0.073  time = 15611   
130/200   risk = 0.073  time = 16272   
135/200   risk = 0.073  time = 16944   
140/200   risk = 0.073  time = 17657   
145/200   risk = 0.073  time = 18305   
150/200   risk = 0.073  time = 18948   
155/200   risk = 0.072  time = 19582   
160/200   risk = 0.072  time = 20234   
165/200   risk = 0.072  time = 20927   
170/200   risk = 0.072  time = 21608   
175/200   risk = 0.072  time = 22252   
180/200   risk = 0.072  time = 22904   
185/200   risk = 0.072  time = 23591   
190/200   risk = 0.072  time = 24267   
195/200   risk = 0.072  time = 24944   
200/200   risk = 0.072  time = 25585   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.072


### [bt]: Job terminated successfully [batchtools job.id=3318]
### [bt]: Calculation finished!
