### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1688]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1688 (seed = 33103) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.25  time = 176   
 10/200   risk = 0.21  time = 355   
 15/200   risk = 0.19  time = 479   
 20/200   risk = 0.18  time = 600   
 25/200   risk = 0.16  time = 728   
 30/200   risk = 0.16  time = 845   
 35/200   risk = 0.15  time = 967   
 40/200   risk = 0.14  time = 1087   
 45/200   risk = 0.14  time = 1212   
 50/200   risk = 0.14  time = 1336   
 55/200   risk = 0.13  time = 1466   
 60/200   risk = 0.13  time = 1590   
 65/200   risk = 0.13  time = 1718   
 70/200   risk = 0.13  time = 1842   
 75/200   risk = 0.13  time = 1984   
 80/200   risk = 0.13  time = 2113   
 85/200   risk = 0.13  time = 2248   
 90/200   risk = 0.13  time = 2376   
 95/200   risk = 0.13  time = 2520   
100/200   risk = 0.12  time = 2672   
105/200   risk = 0.12  time = 2812   
110/200   risk = 0.12  time = 2953   
115/200   risk = 0.12  time = 3096   
120/200   risk = 0.12  time = 3257   
125/200   risk = 0.12  time = 3403   
130/200   risk = 0.12  time = 3572   
135/200   risk = 0.12  time = 3721   
140/200   risk = 0.12  time = 3869   
145/200   risk = 0.12  time = 4022   
150/200   risk = 0.12  time = 4171   
155/200   risk = 0.12  time = 4331   
160/200   risk = 0.12  time = 4486   
165/200   risk = 0.12  time = 4655   
170/200   risk = 0.12  time = 4822   
175/200   risk = 0.12  time = 4984   
180/200   risk = 0.12  time = 5156   
185/200   risk = 0.12  time = 5320   
190/200   risk = 0.12  time = 5486   
195/200   risk = 0.12  time = 5650   
200/200   risk = 0.12  time = 5822   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.12


### [bt]: Job terminated successfully [batchtools job.id=1688]
### [bt]: Calculation finished!
