### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13488]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13488 (seed = 44903) ...
  1/200   risk = 0.096  time = 0   
  5/200   risk = 0.073  time = 377   
 10/200   risk = 0.054  time = 696   
 15/200   risk = 0.042  time = 955   
 20/200   risk = 0.034  time = 1213   
 25/200   risk = 0.03  time = 1475   
 30/200   risk = 0.027  time = 1855   
 35/200   risk = 0.025  time = 2123   
 40/200   risk = 0.024  time = 2388   
 45/200   risk = 0.023  time = 2648   
 50/200   risk = 0.023  time = 2913   
 55/200   risk = 0.022  time = 3176   
 60/200   risk = 0.022  time = 3477   
 65/200   risk = 0.022  time = 3746   
 70/200   risk = 0.022  time = 4004   
 75/200   risk = 0.021  time = 4274   
 80/200   risk = 0.021  time = 4530   
 85/200   risk = 0.021  time = 4782   
 90/200   risk = 0.021  time = 5045   
 95/200   risk = 0.021  time = 5298   
100/200   risk = 0.021  time = 5553   
105/200   risk = 0.021  time = 5808   
110/200   risk = 0.021  time = 6061   
115/200   risk = 0.021  time = 6317   
120/200   risk = 0.021  time = 6575   
125/200   risk = 0.021  time = 6838   
130/200   risk = 0.021  time = 7100   
135/200   risk = 0.021  time = 7365   
140/200   risk = 0.021  time = 7620   
145/200   risk = 0.021  time = 7872   
150/200   risk = 0.021  time = 8140   
155/200   risk = 0.021  time = 8425   
160/200   risk = 0.021  time = 8719   
165/200   risk = 0.021  time = 8973   
170/200   risk = 0.021  time = 9237   
175/200   risk = 0.021  time = 9496   
180/200   risk = 0.021  time = 9819   
185/200   risk = 0.021  time = 10105   
190/200   risk = 0.021  time = 10372   
195/200   risk = 0.021  time = 10647   
200/200   risk = 0.021  time = 10912   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=13488]
### [bt]: Calculation finished!
