### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7238]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7238 (seed = 38653) ...
  1/200   risk = 0.19  time = 0   
  5/200   risk = 0.14  time = 203   
 10/200   risk = 0.094  time = 390   
 15/200   risk = 0.069  time = 572   
 20/200   risk = 0.052  time = 758   
 25/200   risk = 0.042  time = 945   
 30/200   risk = 0.035  time = 1130   
 35/200   risk = 0.031  time = 1404   
 40/200   risk = 0.028  time = 1706   
 45/200   risk = 0.026  time = 1966   
 50/200   risk = 0.024  time = 2179   
 55/200   risk = 0.023  time = 2375   
 60/200   risk = 0.023  time = 2570   
 65/200   risk = 0.022  time = 2767   
 70/200   risk = 0.022  time = 2958   
 75/200   risk = 0.021  time = 3155   
 80/200   risk = 0.021  time = 3368   
 85/200   risk = 0.021  time = 3569   
 90/200   risk = 0.021  time = 3770   
 95/200   risk = 0.021  time = 3972   
100/200   risk = 0.021  time = 4175   
105/200   risk = 0.02  time = 4378   
110/200   risk = 0.02  time = 4592   
115/200   risk = 0.02  time = 4800   
120/200   risk = 0.02  time = 5009   
125/200   risk = 0.02  time = 5216   
130/200   risk = 0.02  time = 5425   
135/200   risk = 0.02  time = 5634   
140/200   risk = 0.02  time = 5843   
145/200   risk = 0.02  time = 6053   
150/200   risk = 0.02  time = 6264   
155/200   risk = 0.02  time = 6476   
160/200   risk = 0.02  time = 6689   
165/200   risk = 0.02  time = 6909   
170/200   risk = 0.02  time = 7124   
175/200   risk = 0.02  time = 7340   
180/200   risk = 0.02  time = 7557   
185/200   risk = 0.02  time = 7776   
190/200   risk = 0.02  time = 8003   
195/200   risk = 0.02  time = 8225   
200/200   risk = 0.02  time = 8446   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7238]
### [bt]: Calculation finished!
