### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10859]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10859 (seed = 42274) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 102   
 10/200   risk = 0.081  time = 166   
 15/200   risk = 0.06  time = 224   
 20/200   risk = 0.047  time = 285   
 25/200   risk = 0.039  time = 344   
 30/200   risk = 0.033  time = 403   
 35/200   risk = 0.03  time = 462   
 40/200   risk = 0.028  time = 522   
 45/200   risk = 0.027  time = 582   
 50/200   risk = 0.026  time = 646   
 55/200   risk = 0.025  time = 708   
 60/200   risk = 0.025  time = 773   
 65/200   risk = 0.024  time = 842   
 70/200   risk = 0.024  time = 906   
 75/200   risk = 0.024  time = 970   
 80/200   risk = 0.024  time = 1036   
 85/200   risk = 0.024  time = 1105   
 90/200   risk = 0.024  time = 1173   
 95/200   risk = 0.024  time = 1240   
100/200   risk = 0.023  time = 1309   
105/200   risk = 0.023  time = 1378   
110/200   risk = 0.023  time = 1476   
115/200   risk = 0.023  time = 1553   
120/200   risk = 0.023  time = 1627   
125/200   risk = 0.023  time = 1700   
130/200   risk = 0.023  time = 1789   
135/200   risk = 0.023  time = 1864   
140/200   risk = 0.023  time = 1937   
145/200   risk = 0.023  time = 2010   
150/200   risk = 0.023  time = 2082   
155/200   risk = 0.023  time = 2156   
160/200   risk = 0.023  time = 2230   
165/200   risk = 0.023  time = 2307   
170/200   risk = 0.023  time = 2382   
175/200   risk = 0.023  time = 2459   
180/200   risk = 0.023  time = 2536   
185/200   risk = 0.023  time = 2612   
190/200   risk = 0.023  time = 2691   
195/200   risk = 0.023  time = 2769   
200/200   risk = 0.023  time = 2852   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=10859]
### [bt]: Calculation finished!
