### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=679]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 679 (seed = 32094) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.21  time = 472   
 10/200   risk = 0.17  time = 916   
 15/200   risk = 0.13  time = 1282   
 20/200   risk = 0.11  time = 1648   
 25/200   risk = 0.092  time = 2033   
 30/200   risk = 0.081  time = 2444   
 35/200   risk = 0.072  time = 2814   
 40/200   risk = 0.066  time = 3187   
 45/200   risk = 0.062  time = 3568   
 50/200   risk = 0.058  time = 3927   
 55/200   risk = 0.056  time = 4302   
 60/200   risk = 0.054  time = 4677   
 65/200   risk = 0.052  time = 5054   
 70/200   risk = 0.051  time = 5433   
 75/200   risk = 0.05  time = 5811   
 80/200   risk = 0.049  time = 6190   
 85/200   risk = 0.048  time = 6575   
 90/200   risk = 0.047  time = 6950   
 95/200   risk = 0.047  time = 7305   
100/200   risk = 0.046  time = 7684   
105/200   risk = 0.046  time = 8061   
110/200   risk = 0.045  time = 8426   
115/200   risk = 0.045  time = 8798   
120/200   risk = 0.044  time = 9173   
125/200   risk = 0.044  time = 9548   
130/200   risk = 0.044  time = 9944   
135/200   risk = 0.043  time = 10325   
140/200   risk = 0.043  time = 10702   
145/200   risk = 0.043  time = 11089   
150/200   risk = 0.043  time = 11471   
155/200   risk = 0.042  time = 11875   
160/200   risk = 0.042  time = 12274   
165/200   risk = 0.042  time = 12677   
170/200   risk = 0.042  time = 13069   
175/200   risk = 0.041  time = 13470   
180/200   risk = 0.041  time = 13873   
185/200   risk = 0.041  time = 14277   
190/200   risk = 0.041  time = 14680   
195/200   risk = 0.041  time = 15077   
200/200   risk = 0.041  time = 15494   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.041


### [bt]: Job terminated successfully [batchtools job.id=679]
### [bt]: Calculation finished!
