### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6959]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6959 (seed = 38374) ...
  1/200   risk = 0.19  time = 0   
  5/200   risk = 0.14  time = 163   
 10/200   risk = 0.1  time = 275   
 15/200   risk = 0.075  time = 383   
 20/200   risk = 0.059  time = 483   
 25/200   risk = 0.048  time = 576   
 30/200   risk = 0.042  time = 664   
 35/200   risk = 0.037  time = 753   
 40/200   risk = 0.034  time = 864   
 45/200   risk = 0.032  time = 958   
 50/200   risk = 0.031  time = 1049   
 55/200   risk = 0.03  time = 1143   
 60/200   risk = 0.029  time = 1273   
 65/200   risk = 0.028  time = 1422   
 70/200   risk = 0.028  time = 1573   
 75/200   risk = 0.027  time = 1725   
 80/200   risk = 0.027  time = 1867   
 85/200   risk = 0.026  time = 2024   
 90/200   risk = 0.026  time = 2186   
 95/200   risk = 0.026  time = 2328   
100/200   risk = 0.026  time = 2481   
105/200   risk = 0.026  time = 2636   
110/200   risk = 0.025  time = 2789   
115/200   risk = 0.025  time = 2947   
120/200   risk = 0.025  time = 3105   
125/200   risk = 0.025  time = 3263   
130/200   risk = 0.025  time = 3424   
135/200   risk = 0.025  time = 3589   
140/200   risk = 0.025  time = 3752   
145/200   risk = 0.024  time = 3917   
150/200   risk = 0.024  time = 4078   
155/200   risk = 0.024  time = 4256   
160/200   risk = 0.024  time = 4428   
165/200   risk = 0.024  time = 4599   
170/200   risk = 0.024  time = 4768   
175/200   risk = 0.024  time = 4942   
180/200   risk = 0.024  time = 5113   
185/200   risk = 0.024  time = 5286   
190/200   risk = 0.024  time = 5459   
195/200   risk = 0.024  time = 5637   
200/200   risk = 0.024  time = 5814   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.024


### [bt]: Job terminated successfully [batchtools job.id=6959]
### [bt]: Calculation finished!
