### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5994]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5994 (seed = 37409) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.2  time = 8773   
 10/200   risk = 0.14  time = 17601   
 15/200   risk = 0.099  time = 24409   
 20/200   risk = 0.074  time = 38095   
 25/200   risk = 0.057  time = 40816   
 30/200   risk = 0.046  time = 47628   
 35/200   risk = 0.039  time = 49221   
 40/200   risk = 0.034  time = 50618   
 45/200   risk = 0.03  time = 51925   
 50/200   risk = 0.028  time = 63186   
 55/200   risk = 0.027  time = 64887   
 60/200   risk = 0.025  time = 66713   
 65/200   risk = 0.025  time = 68522   
 70/200   risk = 0.024  time = 73666   
 75/200   risk = 0.024  time = 75441   
 80/200   risk = 0.023  time = 78473   
 85/200   risk = 0.023  time = 80344   
 90/200   risk = 0.023  time = 92130   
 95/200   risk = 0.023  time = 93983   
100/200   risk = 0.023  time = 95855   
105/200   risk = 0.022  time = 97625   
110/200   risk = 0.022  time = 104001   
115/200   risk = 0.022  time = 112049   
120/200   risk = 0.022  time = 114009   
125/200   risk = 0.022  time = 115938   
130/200   risk = 0.022  time = 124116   
135/200   risk = 0.022  time = 130694   
140/200   risk = 0.022  time = 143586   
145/200   risk = 0.022  time = 151163   
150/200   risk = 0.022  time = 153145   
155/200   risk = 0.022  time = 155017   
160/200   risk = 0.022  time = 156999   
165/200   risk = 0.022  time = 163314   
170/200   risk = 0.022  time = 167015   
175/200   risk = 0.022  time = 174074   
180/200   risk = 0.022  time = 176661   
185/200   risk = 0.022  time = 181513   
190/200   risk = 0.022  time = 186369   
195/200   risk = 0.022  time = 197738   
200/200   risk = 0.022  time = 208917   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=5994]
### [bt]: Calculation finished!
