### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7733]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7733 (seed = 39148) ...
  1/200   risk = 0.15  time = 0   
  5/200   risk = 0.12  time = 596   
 10/200   risk = 0.084  time = 1260   
 15/200   risk = 0.063  time = 1860   
 20/200   risk = 0.049  time = 2472   
 25/200   risk = 0.04  time = 3101   
 30/200   risk = 0.034  time = 4183   
 35/200   risk = 0.031  time = 4783   
 40/200   risk = 0.028  time = 5406   
 45/200   risk = 0.026  time = 6024   
 50/200   risk = 0.025  time = 6822   
 55/200   risk = 0.024  time = 7461   
 60/200   risk = 0.023  time = 8116   
 65/200   risk = 0.023  time = 8778   
 70/200   risk = 0.023  time = 9434   
 75/200   risk = 0.022  time = 10516   
 80/200   risk = 0.022  time = 11159   
 85/200   risk = 0.022  time = 11788   
 90/200   risk = 0.022  time = 12415   
 95/200   risk = 0.022  time = 13201   
100/200   risk = 0.022  time = 13845   
105/200   risk = 0.022  time = 14441   
110/200   risk = 0.022  time = 15063   
115/200   risk = 0.022  time = 15645   
120/200   risk = 0.022  time = 16241   
125/200   risk = 0.022  time = 17296   
130/200   risk = 0.022  time = 17901   
135/200   risk = 0.022  time = 18527   
140/200   risk = 0.022  time = 19150   
145/200   risk = 0.021  time = 19752   
150/200   risk = 0.021  time = 20524   
155/200   risk = 0.021  time = 21125   
160/200   risk = 0.021  time = 21727   
165/200   risk = 0.021  time = 22324   
170/200   risk = 0.021  time = 22926   
175/200   risk = 0.021  time = 24001   
180/200   risk = 0.021  time = 24640   
185/200   risk = 0.021  time = 25264   
190/200   risk = 0.021  time = 25893   
195/200   risk = 0.021  time = 26522   
200/200   risk = 0.021  time = 27308   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=7733]
### [bt]: Calculation finished!
