### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8517]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8517 (seed = 39932) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 499   
 10/200   risk = 0.084  time = 1031   
 15/200   risk = 0.062  time = 1541   
 20/200   risk = 0.048  time = 2062   
 25/200   risk = 0.04  time = 2573   
 30/200   risk = 0.034  time = 3107   
 35/200   risk = 0.031  time = 3628   
 40/200   risk = 0.028  time = 4168   
 45/200   risk = 0.027  time = 4687   
 50/200   risk = 0.026  time = 5215   
 55/200   risk = 0.025  time = 5748   
 60/200   risk = 0.024  time = 6275   
 65/200   risk = 0.024  time = 6820   
 70/200   risk = 0.024  time = 7385   
 75/200   risk = 0.023  time = 7935   
 80/200   risk = 0.023  time = 8475   
 85/200   risk = 0.023  time = 9009   
 90/200   risk = 0.023  time = 9541   
 95/200   risk = 0.023  time = 10074   
100/200   risk = 0.023  time = 10607   
105/200   risk = 0.023  time = 11149   
110/200   risk = 0.022  time = 11671   
115/200   risk = 0.022  time = 12191   
120/200   risk = 0.022  time = 12715   
125/200   risk = 0.022  time = 13247   
130/200   risk = 0.022  time = 13765   
135/200   risk = 0.022  time = 14263   
140/200   risk = 0.022  time = 14755   
145/200   risk = 0.022  time = 15239   
150/200   risk = 0.022  time = 15718   
155/200   risk = 0.022  time = 16248   
160/200   risk = 0.022  time = 16749   
165/200   risk = 0.022  time = 17241   
170/200   risk = 0.022  time = 17777   
175/200   risk = 0.022  time = 18270   
180/200   risk = 0.022  time = 18763   
185/200   risk = 0.022  time = 19245   
190/200   risk = 0.022  time = 19740   
195/200   risk = 0.022  time = 20259   
200/200   risk = 0.021  time = 20787   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8517]
### [bt]: Calculation finished!
