### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13158]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13158 (seed = 44573) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 4976   
 10/200   risk = 0.083  time = 9634   
 15/200   risk = 0.059  time = 16678   
 20/200   risk = 0.045  time = 20807   
 25/200   risk = 0.036  time = 34022   
 30/200   risk = 0.031  time = 37767   
 35/200   risk = 0.027  time = 41492   
 40/200   risk = 0.025  time = 46305   
 45/200   risk = 0.024  time = 58646   
 50/200   risk = 0.023  time = 64409   
 55/200   risk = 0.022  time = 68036   
 60/200   risk = 0.022  time = 71678   
 65/200   risk = 0.022  time = 75309   
 70/200   risk = 0.022  time = 78836   
 75/200   risk = 0.021  time = 85410   
 80/200   risk = 0.021  time = 89078   
 85/200   risk = 0.021  time = 92514   
 90/200   risk = 0.021  time = 96003   
 95/200   risk = 0.021  time = 102696   
100/200   risk = 0.021  time = 106365   
105/200   risk = 0.021  time = 109920   
110/200   risk = 0.021  time = 113578   
115/200   risk = 0.021  time = 117136   
120/200   risk = 0.021  time = 121425   
125/200   risk = 0.021  time = 125617   
130/200   risk = 0.021  time = 129635   
135/200   risk = 0.021  time = 134046   
140/200   risk = 0.021  time = 137791   
145/200   risk = 0.021  time = 141382   
150/200   risk = 0.021  time = 145557   
155/200   risk = 0.021  time = 149882   
160/200   risk = 0.021  time = 154138   
165/200   risk = 0.021  time = 158416   
170/200   risk = 0.021  time = 162649   
175/200   risk = 0.021  time = 167072   
180/200   risk = 0.021  time = 171548   
185/200   risk = 0.021  time = 175796   
190/200   risk = 0.021  time = 180143   
195/200   risk = 0.021  time = 184460   
200/200   risk = 0.02  time = 188967   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=13158]
### [bt]: Calculation finished!
