### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2784]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2784 (seed = 34199) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.24  time = 4906   
 10/200   risk = 0.2  time = 10192   
 15/200   risk = 0.17  time = 15075   
 20/200   risk = 0.15  time = 19829   
 25/200   risk = 0.13  time = 24712   
 30/200   risk = 0.12  time = 29729   
 35/200   risk = 0.11  time = 34406   
 40/200   risk = 0.1  time = 39229   
 45/200   risk = 0.098  time = 43980   
 50/200   risk = 0.093  time = 48706   
 55/200   risk = 0.09  time = 53240   
 60/200   risk = 0.087  time = 57861   
 65/200   risk = 0.085  time = 61900   
 70/200   risk = 0.083  time = 66062   
 75/200   risk = 0.081  time = 70366   
 80/200   risk = 0.079  time = 74557   
 85/200   risk = 0.078  time = 78625   
 90/200   risk = 0.077  time = 82840   
 95/200   risk = 0.076  time = 86864   
100/200   risk = 0.075  time = 91029   
105/200   risk = 0.074  time = 95137   
110/200   risk = 0.073  time = 99226   
115/200   risk = 0.073  time = 103578   
120/200   risk = 0.072  time = 107897   
125/200   risk = 0.071  time = 111277   
130/200   risk = 0.071  time = 114673   
135/200   risk = 0.07  time = 118010   
140/200   risk = 0.07  time = 121438   
145/200   risk = 0.069  time = 124781   
150/200   risk = 0.069  time = 128242   
155/200   risk = 0.068  time = 131713   
160/200   risk = 0.068  time = 135284   
165/200   risk = 0.068  time = 138736   
170/200   risk = 0.067  time = 142330   
175/200   risk = 0.067  time = 145637   
180/200   risk = 0.067  time = 149009   
185/200   risk = 0.066  time = 152425   
190/200   risk = 0.066  time = 155844   
195/200   risk = 0.066  time = 159218   
200/200   risk = 0.066  time = 162509   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.066


### [bt]: Job terminated successfully [batchtools job.id=2784]
### [bt]: Calculation finished!
