### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11912]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11912 (seed = 43327) ...
  1/200   risk = 0.078  time = 0   
  5/200   risk = 0.061  time = 2287   
 10/200   risk = 0.046  time = 5128   
 15/200   risk = 0.037  time = 8019   
 20/200   risk = 0.031  time = 10892   
 25/200   risk = 0.027  time = 13669   
 30/200   risk = 0.025  time = 16439   
 35/200   risk = 0.023  time = 19363   
 40/200   risk = 0.022  time = 22247   
 45/200   risk = 0.022  time = 25031   
 50/200   risk = 0.021  time = 27997   
 55/200   risk = 0.021  time = 30879   
 60/200   risk = 0.021  time = 33701   
 65/200   risk = 0.021  time = 36492   
 70/200   risk = 0.021  time = 39424   
 75/200   risk = 0.02  time = 42303   
 80/200   risk = 0.02  time = 45247   
 85/200   risk = 0.02  time = 48174   
 90/200   risk = 0.02  time = 51541   
 95/200   risk = 0.02  time = 56617   
100/200   risk = 0.02  time = 61588   
105/200   risk = 0.02  time = 65113   
110/200   risk = 0.02  time = 68224   
115/200   risk = 0.02  time = 71611   
120/200   risk = 0.02  time = 74634   
125/200   risk = 0.02  time = 78461   
130/200   risk = 0.02  time = 83719   
135/200   risk = 0.02  time = 89098   
140/200   risk = 0.02  time = 94346   
145/200   risk = 0.02  time = 98949   
150/200   risk = 0.02  time = 102065   
155/200   risk = 0.02  time = 105328   
160/200   risk = 0.02  time = 108508   
165/200   risk = 0.02  time = 111674   
170/200   risk = 0.02  time = 114838   
175/200   risk = 0.02  time = 117976   
180/200   risk = 0.02  time = 121153   
185/200   risk = 0.02  time = 124078   
190/200   risk = 0.02  time = 128213   
195/200   risk = 0.02  time = 131816   
200/200   risk = 0.02  time = 135388   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11912]
### [bt]: Calculation finished!
