### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7797]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7797 (seed = 39212) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 258   
 10/200   risk = 0.084  time = 432   
 15/200   risk = 0.062  time = 604   
 20/200   risk = 0.048  time = 767   
 25/200   risk = 0.039  time = 920   
 30/200   risk = 0.034  time = 1082   
 35/200   risk = 0.03  time = 1237   
 40/200   risk = 0.027  time = 1417   
 45/200   risk = 0.025  time = 1583   
 50/200   risk = 0.024  time = 1752   
 55/200   risk = 0.024  time = 1923   
 60/200   risk = 0.023  time = 2086   
 65/200   risk = 0.023  time = 2251   
 70/200   risk = 0.022  time = 2599   
 75/200   risk = 0.022  time = 2751   
 80/200   risk = 0.022  time = 2908   
 85/200   risk = 0.022  time = 3061   
 90/200   risk = 0.022  time = 3232   
 95/200   risk = 0.022  time = 3386   
100/200   risk = 0.022  time = 3541   
105/200   risk = 0.022  time = 3707   
110/200   risk = 0.022  time = 3865   
115/200   risk = 0.022  time = 4031   
120/200   risk = 0.022  time = 4190   
125/200   risk = 0.022  time = 4350   
130/200   risk = 0.022  time = 4538   
135/200   risk = 0.022  time = 4702   
140/200   risk = 0.022  time = 4871   
145/200   risk = 0.022  time = 5052   
150/200   risk = 0.021  time = 5234   
155/200   risk = 0.021  time = 5420   
160/200   risk = 0.021  time = 5605   
165/200   risk = 0.021  time = 5791   
170/200   risk = 0.021  time = 5986   
175/200   risk = 0.021  time = 6681   
180/200   risk = 0.021  time = 6872   
185/200   risk = 0.021  time = 7054   
190/200   risk = 0.021  time = 7228   
195/200   risk = 0.021  time = 7421   
200/200   risk = 0.021  time = 7593   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=7797]
### [bt]: Calculation finished!
