### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8116]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8116 (seed = 39531) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.21  time = 591   
 10/200   risk = 0.14  time = 1172   
 15/200   risk = 0.094  time = 1743   
 20/200   risk = 0.068  time = 2370   
 25/200   risk = 0.051  time = 2922   
 30/200   risk = 0.041  time = 3480   
 35/200   risk = 0.035  time = 4041   
 40/200   risk = 0.031  time = 4577   
 45/200   risk = 0.028  time = 5086   
 50/200   risk = 0.026  time = 5625   
 55/200   risk = 0.025  time = 6158   
 60/200   risk = 0.024  time = 6673   
 65/200   risk = 0.024  time = 7184   
 70/200   risk = 0.023  time = 7692   
 75/200   risk = 0.023  time = 8203   
 80/200   risk = 0.023  time = 8753   
 85/200   risk = 0.023  time = 9267   
 90/200   risk = 0.022  time = 9800   
 95/200   risk = 0.022  time = 10386   
100/200   risk = 0.022  time = 10885   
105/200   risk = 0.022  time = 11376   
110/200   risk = 0.022  time = 11896   
115/200   risk = 0.022  time = 12426   
120/200   risk = 0.022  time = 13010   
125/200   risk = 0.022  time = 13551   
130/200   risk = 0.022  time = 14073   
135/200   risk = 0.022  time = 14605   
140/200   risk = 0.022  time = 15129   
145/200   risk = 0.022  time = 15661   
150/200   risk = 0.021  time = 16229   
155/200   risk = 0.021  time = 16734   
160/200   risk = 0.021  time = 17270   
165/200   risk = 0.021  time = 17825   
170/200   risk = 0.021  time = 18369   
175/200   risk = 0.021  time = 18911   
180/200   risk = 0.021  time = 19424   
185/200   risk = 0.021  time = 20008   
190/200   risk = 0.021  time = 20606   
195/200   risk = 0.021  time = 21197   
200/200   risk = 0.021  time = 21711   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8116]
### [bt]: Calculation finished!
