### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3229]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3229 (seed = 34644) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.24  time = 351   
 10/200   risk = 0.2  time = 736   
 15/200   risk = 0.17  time = 1101   
 20/200   risk = 0.15  time = 1452   
 25/200   risk = 0.14  time = 1811   
 30/200   risk = 0.13  time = 2167   
 35/200   risk = 0.12  time = 2533   
 40/200   risk = 0.11  time = 2890   
 45/200   risk = 0.1  time = 3244   
 50/200   risk = 0.098  time = 3602   
 55/200   risk = 0.094  time = 3980   
 60/200   risk = 0.091  time = 4339   
 65/200   risk = 0.088  time = 4701   
 70/200   risk = 0.086  time = 5054   
 75/200   risk = 0.085  time = 5416   
 80/200   risk = 0.083  time = 5817   
 85/200   risk = 0.082  time = 6219   
 90/200   risk = 0.081  time = 6608   
 95/200   risk = 0.08  time = 6983   
100/200   risk = 0.08  time = 7377   
105/200   risk = 0.079  time = 7767   
110/200   risk = 0.079  time = 8153   
115/200   risk = 0.079  time = 8553   
120/200   risk = 0.078  time = 8945   
125/200   risk = 0.078  time = 9320   
130/200   risk = 0.078  time = 9712   
135/200   risk = 0.078  time = 10107   
140/200   risk = 0.077  time = 10502   
145/200   risk = 0.077  time = 10905   
150/200   risk = 0.077  time = 11313   
155/200   risk = 0.077  time = 11716   
160/200   risk = 0.077  time = 12126   
165/200   risk = 0.077  time = 12528   
170/200   risk = 0.077  time = 12892   
175/200   risk = 0.077  time = 13293   
180/200   risk = 0.077  time = 13683   
185/200   risk = 0.076  time = 14107   
190/200   risk = 0.076  time = 14513   
195/200   risk = 0.076  time = 14924   
200/200   risk = 0.076  time = 15330   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.076


### [bt]: Job terminated successfully [batchtools job.id=3229]
### [bt]: Calculation finished!
