### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8897]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8897 (seed = 40312) ...
  1/200   risk = 0.11  time = 0   
  5/200   risk = 0.082  time = 199   
 10/200   risk = 0.061  time = 356   
 15/200   risk = 0.047  time = 481   
 20/200   risk = 0.039  time = 607   
 25/200   risk = 0.033  time = 729   
 30/200   risk = 0.03  time = 854   
 35/200   risk = 0.028  time = 982   
 40/200   risk = 0.026  time = 1118   
 45/200   risk = 0.025  time = 1246   
 50/200   risk = 0.024  time = 1382   
 55/200   risk = 0.024  time = 1525   
 60/200   risk = 0.024  time = 1659   
 65/200   risk = 0.023  time = 1808   
 70/200   risk = 0.023  time = 1955   
 75/200   risk = 0.023  time = 2094   
 80/200   risk = 0.023  time = 2232   
 85/200   risk = 0.023  time = 2374   
 90/200   risk = 0.023  time = 2524   
 95/200   risk = 0.023  time = 2671   
100/200   risk = 0.023  time = 2809   
105/200   risk = 0.022  time = 2956   
110/200   risk = 0.022  time = 3094   
115/200   risk = 0.022  time = 3247   
120/200   risk = 0.022  time = 3389   
125/200   risk = 0.022  time = 3530   
130/200   risk = 0.022  time = 3689   
135/200   risk = 0.022  time = 3850   
140/200   risk = 0.022  time = 3996   
145/200   risk = 0.022  time = 4146   
150/200   risk = 0.022  time = 4299   
155/200   risk = 0.022  time = 4451   
160/200   risk = 0.022  time = 4612   
165/200   risk = 0.022  time = 4767   
170/200   risk = 0.022  time = 4924   
175/200   risk = 0.022  time = 5088   
180/200   risk = 0.022  time = 5248   
185/200   risk = 0.022  time = 5405   
190/200   risk = 0.022  time = 5563   
195/200   risk = 0.022  time = 5729   
200/200   risk = 0.022  time = 5899   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=8897]
### [bt]: Calculation finished!
