### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10972]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10972 (seed = 42387) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.09  time = 161   
 10/200   risk = 0.065  time = 263   
 15/200   risk = 0.049  time = 357   
 20/200   risk = 0.04  time = 455   
 25/200   risk = 0.033  time = 549   
 30/200   risk = 0.03  time = 708   
 35/200   risk = 0.027  time = 872   
 40/200   risk = 0.026  time = 1034   
 45/200   risk = 0.025  time = 1195   
 50/200   risk = 0.024  time = 1362   
 55/200   risk = 0.023  time = 1527   
 60/200   risk = 0.023  time = 1696   
 65/200   risk = 0.023  time = 1869   
 70/200   risk = 0.023  time = 2047   
 75/200   risk = 0.022  time = 2211   
 80/200   risk = 0.022  time = 2378   
 85/200   risk = 0.022  time = 2543   
 90/200   risk = 0.022  time = 2710   
 95/200   risk = 0.022  time = 2883   
100/200   risk = 0.022  time = 3056   
105/200   risk = 0.022  time = 3229   
110/200   risk = 0.022  time = 3416   
115/200   risk = 0.022  time = 3591   
120/200   risk = 0.022  time = 3763   
125/200   risk = 0.022  time = 3946   
130/200   risk = 0.022  time = 4114   
135/200   risk = 0.022  time = 4289   
140/200   risk = 0.021  time = 4454   
145/200   risk = 0.021  time = 4628   
150/200   risk = 0.021  time = 4804   
155/200   risk = 0.021  time = 4985   
160/200   risk = 0.021  time = 5149   
165/200   risk = 0.021  time = 5320   
170/200   risk = 0.021  time = 5489   
175/200   risk = 0.021  time = 5666   
180/200   risk = 0.021  time = 5833   
185/200   risk = 0.021  time = 6007   
190/200   risk = 0.021  time = 6181   
195/200   risk = 0.021  time = 6337   
200/200   risk = 0.021  time = 6504   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=10972]
### [bt]: Calculation finished!
