### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5979]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5979 (seed = 37394) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.2  time = 3879   
 10/200   risk = 0.14  time = 10829   
 15/200   risk = 0.098  time = 14239   
 20/200   risk = 0.072  time = 17422   
 25/200   risk = 0.056  time = 20647   
 30/200   risk = 0.045  time = 28682   
 35/200   risk = 0.038  time = 31214   
 40/200   risk = 0.034  time = 33755   
 45/200   risk = 0.03  time = 36270   
 50/200   risk = 0.028  time = 38697   
 55/200   risk = 0.027  time = 41307   
 60/200   risk = 0.025  time = 45680   
 65/200   risk = 0.025  time = 48220   
 70/200   risk = 0.024  time = 51274   
 75/200   risk = 0.024  time = 54522   
 80/200   risk = 0.023  time = 57786   
 85/200   risk = 0.023  time = 62196   
 90/200   risk = 0.023  time = 67113   
 95/200   risk = 0.023  time = 72210   
100/200   risk = 0.023  time = 77481   
105/200   risk = 0.023  time = 82786   
110/200   risk = 0.022  time = 88685   
115/200   risk = 0.022  time = 95978   
120/200   risk = 0.022  time = 101477   
125/200   risk = 0.022  time = 106862   
130/200   risk = 0.022  time = 115200   
135/200   risk = 0.022  time = 120835   
140/200   risk = 0.022  time = 126812   
145/200   risk = 0.022  time = 132395   
150/200   risk = 0.022  time = 138141   
155/200   risk = 0.022  time = 143709   
160/200   risk = 0.022  time = 149444   
165/200   risk = 0.022  time = 154898   
170/200   risk = 0.022  time = 160091   
175/200   risk = 0.022  time = 165313   
180/200   risk = 0.022  time = 170369   
185/200   risk = 0.022  time = 175207   
190/200   risk = 0.022  time = 180372   
195/200   risk = 0.022  time = 185951   
200/200   risk = 0.022  time = 191322   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=5979]
### [bt]: Calculation finished!
