### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11737]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11737 (seed = 43152) ...
  1/200   risk = 0.079  time = 0   
  5/200   risk = 0.062  time = 278   
 10/200   risk = 0.047  time = 552   
 15/200   risk = 0.038  time = 830   
 20/200   risk = 0.032  time = 1094   
 25/200   risk = 0.028  time = 1355   
 30/200   risk = 0.026  time = 1623   
 35/200   risk = 0.024  time = 1916   
 40/200   risk = 0.023  time = 2196   
 45/200   risk = 0.022  time = 2470   
 50/200   risk = 0.022  time = 2745   
 55/200   risk = 0.021  time = 3022   
 60/200   risk = 0.021  time = 3303   
 65/200   risk = 0.021  time = 3587   
 70/200   risk = 0.021  time = 3867   
 75/200   risk = 0.021  time = 4141   
 80/200   risk = 0.021  time = 4426   
 85/200   risk = 0.021  time = 4707   
 90/200   risk = 0.021  time = 4985   
 95/200   risk = 0.021  time = 5276   
100/200   risk = 0.021  time = 5557   
105/200   risk = 0.021  time = 5846   
110/200   risk = 0.021  time = 6128   
115/200   risk = 0.021  time = 6409   
120/200   risk = 0.021  time = 6694   
125/200   risk = 0.021  time = 6976   
130/200   risk = 0.021  time = 7271   
135/200   risk = 0.021  time = 7557   
140/200   risk = 0.021  time = 7856   
145/200   risk = 0.021  time = 8151   
150/200   risk = 0.021  time = 8454   
155/200   risk = 0.021  time = 8787   
160/200   risk = 0.021  time = 9116   
165/200   risk = 0.02  time = 9414   
170/200   risk = 0.02  time = 9712   
175/200   risk = 0.02  time = 10010   
180/200   risk = 0.02  time = 10310   
185/200   risk = 0.02  time = 10611   
190/200   risk = 0.02  time = 10914   
195/200   risk = 0.02  time = 11216   
200/200   risk = 0.02  time = 11519   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11737]
### [bt]: Calculation finished!
