### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8704]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8704 (seed = 40119) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 5169   
 10/200   risk = 0.084  time = 11485   
 15/200   risk = 0.062  time = 17946   
 20/200   risk = 0.048  time = 24292   
 25/200   risk = 0.039  time = 33409   
 30/200   risk = 0.033  time = 41420   
 35/200   risk = 0.03  time = 49821   
 40/200   risk = 0.028  time = 56119   
 45/200   risk = 0.026  time = 60289   
 50/200   risk = 0.025  time = 64902   
 55/200   risk = 0.024  time = 71682   
 60/200   risk = 0.024  time = 79234   
 65/200   risk = 0.024  time = 86924   
 70/200   risk = 0.023  time = 93878   
 75/200   risk = 0.023  time = 100330   
 80/200   risk = 0.023  time = 106785   
 85/200   risk = 0.023  time = 113089   
 90/200   risk = 0.023  time = 119183   
 95/200   risk = 0.022  time = 125098   
100/200   risk = 0.022  time = 131142   
105/200   risk = 0.022  time = 137209   
110/200   risk = 0.022  time = 143041   
115/200   risk = 0.022  time = 148872   
120/200   risk = 0.022  time = 154811   
125/200   risk = 0.022  time = 161233   
130/200   risk = 0.022  time = 167554   
135/200   risk = 0.022  time = 174318   
140/200   risk = 0.022  time = 180450   
145/200   risk = 0.022  time = 186791   
150/200   risk = 0.022  time = 193139   
155/200   risk = 0.022  time = 199452   
160/200   risk = 0.022  time = 205943   
165/200   risk = 0.022  time = 212266   
170/200   risk = 0.022  time = 219032   
175/200   risk = 0.021  time = 225774   
180/200   risk = 0.021  time = 231833   
185/200   risk = 0.021  time = 238365   
190/200   risk = 0.021  time = 251100   
195/200   risk = 0.021  time = 257720   
200/200   risk = 0.021  time = 265530   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8704]
### [bt]: Calculation finished!
