### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3630]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3630 (seed = 35045) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.21  time = 225   
 10/200   risk = 0.16  time = 713   
 15/200   risk = 0.12  time = 999   
 20/200   risk = 0.09  time = 1286   
 25/200   risk = 0.073  time = 1578   
 30/200   risk = 0.062  time = 1880   
 35/200   risk = 0.053  time = 2172   
 40/200   risk = 0.048  time = 2464   
 45/200   risk = 0.043  time = 2748   
 50/200   risk = 0.04  time = 3031   
 55/200   risk = 0.038  time = 3340   
 60/200   risk = 0.036  time = 3639   
 65/200   risk = 0.034  time = 3956   
 70/200   risk = 0.033  time = 4705   
 75/200   risk = 0.032  time = 4999   
 80/200   risk = 0.031  time = 5290   
 85/200   risk = 0.03  time = 5580   
 90/200   risk = 0.029  time = 5886   
 95/200   risk = 0.029  time = 6179   
100/200   risk = 0.028  time = 6494   
105/200   risk = 0.028  time = 6802   
110/200   risk = 0.027  time = 7299   
115/200   risk = 0.027  time = 7596   
120/200   risk = 0.027  time = 7887   
125/200   risk = 0.026  time = 8177   
130/200   risk = 0.026  time = 8516   
135/200   risk = 0.026  time = 8856   
140/200   risk = 0.026  time = 9151   
145/200   risk = 0.025  time = 9457   
150/200   risk = 0.025  time = 9743   
155/200   risk = 0.025  time = 10055   
160/200   risk = 0.025  time = 10342   
165/200   risk = 0.024  time = 10689   
170/200   risk = 0.024  time = 11478   
175/200   risk = 0.024  time = 11793   
180/200   risk = 0.024  time = 12005   
185/200   risk = 0.024  time = 12224   
190/200   risk = 0.024  time = 12437   
195/200   risk = 0.024  time = 12664   
200/200   risk = 0.023  time = 12906   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=3630]
### [bt]: Calculation finished!
