### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9740]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9740 (seed = 41155) ...
  1/200   risk = 0.11  time = 0   
  5/200   risk = 0.083  time = 565   
 10/200   risk = 0.061  time = 1255   
 15/200   risk = 0.047  time = 1932   
 20/200   risk = 0.038  time = 2567   
 25/200   risk = 0.032  time = 3181   
 30/200   risk = 0.028  time = 3793   
 35/200   risk = 0.025  time = 4416   
 40/200   risk = 0.024  time = 5047   
 45/200   risk = 0.023  time = 5658   
 50/200   risk = 0.022  time = 6241   
 55/200   risk = 0.022  time = 6821   
 60/200   risk = 0.021  time = 7404   
 65/200   risk = 0.021  time = 7990   
 70/200   risk = 0.021  time = 8576   
 75/200   risk = 0.021  time = 9172   
 80/200   risk = 0.021  time = 9767   
 85/200   risk = 0.021  time = 10352   
 90/200   risk = 0.021  time = 10939   
 95/200   risk = 0.021  time = 11533   
100/200   risk = 0.021  time = 12140   
105/200   risk = 0.02  time = 12733   
110/200   risk = 0.02  time = 13333   
115/200   risk = 0.02  time = 13929   
120/200   risk = 0.02  time = 14534   
125/200   risk = 0.02  time = 15132   
130/200   risk = 0.02  time = 15773   
135/200   risk = 0.02  time = 16380   
140/200   risk = 0.02  time = 16989   
145/200   risk = 0.02  time = 17572   
150/200   risk = 0.02  time = 18152   
155/200   risk = 0.02  time = 18774   
160/200   risk = 0.02  time = 19390   
165/200   risk = 0.02  time = 19986   
170/200   risk = 0.02  time = 20589   
175/200   risk = 0.02  time = 21201   
180/200   risk = 0.02  time = 21807   
185/200   risk = 0.02  time = 22465   
190/200   risk = 0.02  time = 23140   
195/200   risk = 0.02  time = 23810   
200/200   risk = 0.02  time = 24518   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=9740]
### [bt]: Calculation finished!
