### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2694]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2694 (seed = 34109) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.23  time = 423   
 10/200   risk = 0.19  time = 878   
 15/200   risk = 0.16  time = 1317   
 20/200   risk = 0.14  time = 1782   
 25/200   risk = 0.13  time = 2242   
 30/200   risk = 0.11  time = 2754   
 35/200   risk = 0.11  time = 3226   
 40/200   risk = 0.099  time = 3693   
 45/200   risk = 0.094  time = 4159   
 50/200   risk = 0.09  time = 4628   
 55/200   risk = 0.086  time = 5085   
 60/200   risk = 0.083  time = 5563   
 65/200   risk = 0.081  time = 6068   
 70/200   risk = 0.079  time = 6542   
 75/200   risk = 0.077  time = 7016   
 80/200   risk = 0.076  time = 7490   
 85/200   risk = 0.074  time = 7963   
 90/200   risk = 0.073  time = 8450   
 95/200   risk = 0.072  time = 8941   
100/200   risk = 0.071  time = 9428   
105/200   risk = 0.07  time = 9907   
110/200   risk = 0.069  time = 10390   
115/200   risk = 0.069  time = 10874   
120/200   risk = 0.068  time = 11371   
125/200   risk = 0.067  time = 11863   
130/200   risk = 0.067  time = 12364   
135/200   risk = 0.066  time = 12864   
140/200   risk = 0.066  time = 13351   
145/200   risk = 0.065  time = 13865   
150/200   risk = 0.065  time = 14384   
155/200   risk = 0.064  time = 14908   
160/200   risk = 0.064  time = 15432   
165/200   risk = 0.064  time = 15971   
170/200   risk = 0.063  time = 16499   
175/200   risk = 0.063  time = 17014   
180/200   risk = 0.063  time = 17524   
185/200   risk = 0.062  time = 18055   
190/200   risk = 0.062  time = 18579   
195/200   risk = 0.062  time = 19122   
200/200   risk = 0.062  time = 19664   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.062


### [bt]: Job terminated successfully [batchtools job.id=2694]
### [bt]: Calculation finished!
