### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6716]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6716 (seed = 38131) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 6828   
 10/200   risk = 0.086  time = 14532   
 15/200   risk = 0.065  time = 22823   
 20/200   risk = 0.051  time = 31041   
 25/200   risk = 0.043  time = 41562   
 30/200   risk = 0.037  time = 52844   
 35/200   risk = 0.033  time = 65185   
 40/200   risk = 0.031  time = 73794   
 45/200   risk = 0.029  time = 84306   
 50/200   risk = 0.028  time = 95727   
 55/200   risk = 0.028  time = 103820   
 60/200   risk = 0.027  time = 111394   
 65/200   risk = 0.026  time = 116142   
 70/200   risk = 0.026  time = 122219   
 75/200   risk = 0.026  time = 127125   
 80/200   risk = 0.025  time = 134806   
 85/200   risk = 0.025  time = 141473   
 90/200   risk = 0.025  time = 146078   
 95/200   risk = 0.025  time = 150086   
100/200   risk = 0.025  time = 154543   
105/200   risk = 0.024  time = 158683   
110/200   risk = 0.024  time = 162991   
115/200   risk = 0.024  time = 167106   
120/200   risk = 0.024  time = 171487   
125/200   risk = 0.024  time = 175752   
130/200   risk = 0.024  time = 179659   
135/200   risk = 0.023  time = 183601   
140/200   risk = 0.023  time = 187454   
145/200   risk = 0.023  time = 191319   
150/200   risk = 0.023  time = 195411   
155/200   risk = 0.023  time = 199456   
160/200   risk = 0.023  time = 203508   
165/200   risk = 0.023  time = 207350   
170/200   risk = 0.023  time = 211184   
175/200   risk = 0.023  time = 215400   
180/200   risk = 0.022  time = 219301   
185/200   risk = 0.022  time = 223294   
190/200   risk = 0.022  time = 227113   
195/200   risk = 0.022  time = 230933   
200/200   risk = 0.022  time = 234738   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=6716]
### [bt]: Calculation finished!
