### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9806]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9806 (seed = 41221) ...
  1/200   risk = 0.11  time = 0   
  5/200   risk = 0.084  time = 1285   
 10/200   risk = 0.062  time = 2893   
 15/200   risk = 0.047  time = 4496   
 20/200   risk = 0.038  time = 6107   
 25/200   risk = 0.032  time = 7701   
 30/200   risk = 0.028  time = 9327   
 35/200   risk = 0.026  time = 11019   
 40/200   risk = 0.024  time = 12650   
 45/200   risk = 0.023  time = 14259   
 50/200   risk = 0.022  time = 15860   
 55/200   risk = 0.022  time = 17615   
 60/200   risk = 0.021  time = 19387   
 65/200   risk = 0.021  time = 21486   
 70/200   risk = 0.021  time = 24391   
 75/200   risk = 0.021  time = 27338   
 80/200   risk = 0.021  time = 30276   
 85/200   risk = 0.02  time = 33358   
 90/200   risk = 0.02  time = 35771   
 95/200   risk = 0.02  time = 37557   
100/200   risk = 0.02  time = 39302   
105/200   risk = 0.02  time = 41018   
110/200   risk = 0.02  time = 42697   
115/200   risk = 0.02  time = 44425   
120/200   risk = 0.02  time = 46185   
125/200   risk = 0.02  time = 47899   
130/200   risk = 0.02  time = 49577   
135/200   risk = 0.02  time = 51260   
140/200   risk = 0.02  time = 52925   
145/200   risk = 0.02  time = 54577   
150/200   risk = 0.02  time = 56287   
155/200   risk = 0.02  time = 57964   
160/200   risk = 0.02  time = 59695   
165/200   risk = 0.02  time = 61420   
170/200   risk = 0.02  time = 63117   
175/200   risk = 0.02  time = 64769   
180/200   risk = 0.02  time = 66364   
185/200   risk = 0.02  time = 67979   
190/200   risk = 0.02  time = 69602   
195/200   risk = 0.02  time = 71222   
200/200   risk = 0.02  time = 72851   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=9806]
### [bt]: Calculation finished!
