### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=913]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 913 (seed = 32328) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.22  time = 302   
 10/200   risk = 0.17  time = 620   
 15/200   risk = 0.13  time = 936   
 20/200   risk = 0.11  time = 1222   
 25/200   risk = 0.095  time = 1507   
 30/200   risk = 0.084  time = 1801   
 35/200   risk = 0.076  time = 2087   
 40/200   risk = 0.07  time = 2487   
 45/200   risk = 0.066  time = 2930   
 50/200   risk = 0.063  time = 3356   
 55/200   risk = 0.061  time = 3752   
 60/200   risk = 0.059  time = 4138   
 65/200   risk = 0.058  time = 4543   
 70/200   risk = 0.057  time = 4859   
 75/200   risk = 0.056  time = 5139   
 80/200   risk = 0.056  time = 5448   
 85/200   risk = 0.055  time = 5814   
 90/200   risk = 0.055  time = 6104   
 95/200   risk = 0.054  time = 6390   
100/200   risk = 0.054  time = 6704   
105/200   risk = 0.054  time = 7000   
110/200   risk = 0.053  time = 7304   
115/200   risk = 0.053  time = 7617   
120/200   risk = 0.053  time = 7924   
125/200   risk = 0.053  time = 8231   
130/200   risk = 0.053  time = 8555   
135/200   risk = 0.053  time = 8874   
140/200   risk = 0.052  time = 9193   
145/200   risk = 0.052  time = 9515   
150/200   risk = 0.052  time = 9840   
155/200   risk = 0.052  time = 10187   
160/200   risk = 0.052  time = 10565   
165/200   risk = 0.052  time = 10919   
170/200   risk = 0.052  time = 11238   
175/200   risk = 0.051  time = 11554   
180/200   risk = 0.051  time = 11871   
185/200   risk = 0.051  time = 12244   
190/200   risk = 0.051  time = 12622   
195/200   risk = 0.051  time = 12970   
200/200   risk = 0.051  time = 13313   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.051


### [bt]: Job terminated successfully [batchtools job.id=913]
### [bt]: Calculation finished!
