### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5352]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5352 (seed = 36767) ...
  1/200   risk = 0.081  time = 0   
  5/200   risk = 0.063  time = 289   
 10/200   risk = 0.048  time = 473   
 15/200   risk = 0.038  time = 647   
 20/200   risk = 0.032  time = 815   
 25/200   risk = 0.028  time = 996   
 30/200   risk = 0.026  time = 1161   
 35/200   risk = 0.024  time = 1339   
 40/200   risk = 0.023  time = 1514   
 45/200   risk = 0.022  time = 1695   
 50/200   risk = 0.022  time = 1886   
 55/200   risk = 0.021  time = 2062   
 60/200   risk = 0.021  time = 2228   
 65/200   risk = 0.021  time = 2410   
 70/200   risk = 0.021  time = 2583   
 75/200   risk = 0.021  time = 2761   
 80/200   risk = 0.02  time = 2934   
 85/200   risk = 0.02  time = 3112   
 90/200   risk = 0.02  time = 3288   
 95/200   risk = 0.02  time = 3468   
100/200   risk = 0.02  time = 3649   
105/200   risk = 0.02  time = 3837   
110/200   risk = 0.02  time = 4019   
115/200   risk = 0.02  time = 4207   
120/200   risk = 0.02  time = 4404   
125/200   risk = 0.02  time = 4591   
130/200   risk = 0.02  time = 4789   
135/200   risk = 0.02  time = 4976   
140/200   risk = 0.02  time = 5167   
145/200   risk = 0.02  time = 5379   
150/200   risk = 0.02  time = 5577   
155/200   risk = 0.02  time = 5789   
160/200   risk = 0.02  time = 5986   
165/200   risk = 0.02  time = 6184   
170/200   risk = 0.02  time = 6398   
175/200   risk = 0.02  time = 6595   
180/200   risk = 0.02  time = 6795   
185/200   risk = 0.02  time = 7006   
190/200   risk = 0.02  time = 7211   
195/200   risk = 0.02  time = 7414   
200/200   risk = 0.02  time = 7617   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=5352]
### [bt]: Calculation finished!
