### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10390]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10390 (seed = 41805) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.19  time = 7972   
 10/200   risk = 0.13  time = 14621   
 15/200   risk = 0.086  time = 21249   
 20/200   risk = 0.062  time = 27545   
 25/200   risk = 0.046  time = 34465   
 30/200   risk = 0.037  time = 47156   
 35/200   risk = 0.031  time = 52821   
 40/200   risk = 0.028  time = 58217   
 45/200   risk = 0.025  time = 63561   
 50/200   risk = 0.024  time = 69077   
 55/200   risk = 0.023  time = 74500   
 60/200   risk = 0.022  time = 83557   
 65/200   risk = 0.022  time = 85754   
 70/200   risk = 0.021  time = 87720   
 75/200   risk = 0.021  time = 89367   
 80/200   risk = 0.021  time = 91149   
 85/200   risk = 0.021  time = 92687   
 90/200   risk = 0.021  time = 94308   
 95/200   risk = 0.021  time = 95968   
100/200   risk = 0.021  time = 97908   
105/200   risk = 0.021  time = 99536   
110/200   risk = 0.021  time = 101192   
115/200   risk = 0.021  time = 102854   
120/200   risk = 0.021  time = 110310   
125/200   risk = 0.021  time = 112532   
130/200   risk = 0.021  time = 115115   
135/200   risk = 0.021  time = 116805   
140/200   risk = 0.02  time = 118526   
145/200   risk = 0.02  time = 120218   
150/200   risk = 0.02  time = 122027   
155/200   risk = 0.02  time = 123578   
160/200   risk = 0.02  time = 125703   
165/200   risk = 0.02  time = 127388   
170/200   risk = 0.02  time = 129074   
175/200   risk = 0.02  time = 130649   
180/200   risk = 0.02  time = 132533   
185/200   risk = 0.02  time = 134154   
190/200   risk = 0.02  time = 135781   
195/200   risk = 0.02  time = 137401   
200/200   risk = 0.02  time = 139231   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=10390]
### [bt]: Calculation finished!
