### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1203]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1203 (seed = 32618) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.22  time = 276   
 10/200   risk = 0.17  time = 573   
 15/200   risk = 0.14  time = 827   
 20/200   risk = 0.11  time = 1079   
 25/200   risk = 0.098  time = 1329   
 30/200   risk = 0.086  time = 1606   
 35/200   risk = 0.078  time = 1889   
 40/200   risk = 0.071  time = 2152   
 45/200   risk = 0.066  time = 2419   
 50/200   risk = 0.063  time = 2673   
 55/200   risk = 0.06  time = 2932   
 60/200   risk = 0.058  time = 3201   
 65/200   risk = 0.056  time = 3468   
 70/200   risk = 0.054  time = 3736   
 75/200   risk = 0.053  time = 3995   
 80/200   risk = 0.052  time = 4295   
 85/200   risk = 0.051  time = 4557   
 90/200   risk = 0.05  time = 4817   
 95/200   risk = 0.05  time = 5088   
100/200   risk = 0.049  time = 5351   
105/200   risk = 0.048  time = 5618   
110/200   risk = 0.048  time = 5884   
115/200   risk = 0.047  time = 6149   
120/200   risk = 0.047  time = 6424   
125/200   risk = 0.047  time = 6712   
130/200   risk = 0.046  time = 7007   
135/200   risk = 0.046  time = 7280   
140/200   risk = 0.046  time = 7572   
145/200   risk = 0.045  time = 7855   
150/200   risk = 0.045  time = 8139   
155/200   risk = 0.045  time = 8450   
160/200   risk = 0.045  time = 8777   
165/200   risk = 0.044  time = 9067   
170/200   risk = 0.044  time = 9356   
175/200   risk = 0.044  time = 9653   
180/200   risk = 0.044  time = 9934   
185/200   risk = 0.044  time = 10213   
190/200   risk = 0.044  time = 10519   
195/200   risk = 0.043  time = 10806   
200/200   risk = 0.043  time = 11089   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.043


### [bt]: Job terminated successfully [batchtools job.id=1203]
### [bt]: Calculation finished!
