### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12087]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12087 (seed = 43502) ...
  1/200   risk = 0.24  time = 0   
  5/200   risk = 0.17  time = 151   
 10/200   risk = 0.11  time = 253   
 15/200   risk = 0.075  time = 342   
 20/200   risk = 0.054  time = 440   
 25/200   risk = 0.041  time = 538   
 30/200   risk = 0.033  time = 631   
 35/200   risk = 0.028  time = 729   
 40/200   risk = 0.025  time = 823   
 45/200   risk = 0.023  time = 925   
 50/200   risk = 0.022  time = 1025   
 55/200   risk = 0.021  time = 1122   
 60/200   risk = 0.021  time = 1225   
 65/200   risk = 0.02  time = 1332   
 70/200   risk = 0.02  time = 1436   
 75/200   risk = 0.02  time = 1545   
 80/200   risk = 0.02  time = 1650   
 85/200   risk = 0.02  time = 1763   
 90/200   risk = 0.02  time = 1875   
 95/200   risk = 0.02  time = 1990   
100/200   risk = 0.02  time = 2096   
105/200   risk = 0.02  time = 2201   
110/200   risk = 0.02  time = 2324   
115/200   risk = 0.02  time = 2437   
120/200   risk = 0.02  time = 2552   
125/200   risk = 0.02  time = 2697   
130/200   risk = 0.019  time = 2838   
135/200   risk = 0.019  time = 2959   
140/200   risk = 0.019  time = 3081   
145/200   risk = 0.019  time = 3202   
150/200   risk = 0.019  time = 3320   
155/200   risk = 0.019  time = 3432   
160/200   risk = 0.019  time = 3540   
165/200   risk = 0.019  time = 3651   
170/200   risk = 0.019  time = 3759   
175/200   risk = 0.019  time = 3869   
180/200   risk = 0.019  time = 3980   
185/200   risk = 0.019  time = 4095   
190/200   risk = 0.019  time = 4208   
195/200   risk = 0.019  time = 4314   
200/200   risk = 0.019  time = 4425   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.019


### [bt]: Job terminated successfully [batchtools job.id=12087]
### [bt]: Calculation finished!
