### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2491]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2491 (seed = 33906) ...
  1/200   risk = 0.27  time = 1   
  5/200   risk = 0.23  time = 165   
 10/200   risk = 0.19  time = 270   
 15/200   risk = 0.16  time = 352   
 20/200   risk = 0.15  time = 432   
 25/200   risk = 0.13  time = 511   
 30/200   risk = 0.12  time = 594   
 35/200   risk = 0.11  time = 682   
 40/200   risk = 0.11  time = 766   
 45/200   risk = 0.1  time = 854   
 50/200   risk = 0.098  time = 944   
 55/200   risk = 0.094  time = 1033   
 60/200   risk = 0.091  time = 1128   
 65/200   risk = 0.089  time = 1223   
 70/200   risk = 0.086  time = 1320   
 75/200   risk = 0.085  time = 1421   
 80/200   risk = 0.083  time = 1527   
 85/200   risk = 0.081  time = 1731   
 90/200   risk = 0.08  time = 1849   
 95/200   risk = 0.079  time = 1946   
100/200   risk = 0.078  time = 2041   
105/200   risk = 0.077  time = 2135   
110/200   risk = 0.076  time = 2232   
115/200   risk = 0.075  time = 2332   
120/200   risk = 0.074  time = 2434   
125/200   risk = 0.073  time = 2554   
130/200   risk = 0.073  time = 2666   
135/200   risk = 0.072  time = 2774   
140/200   risk = 0.071  time = 2883   
145/200   risk = 0.071  time = 2989   
150/200   risk = 0.07  time = 3100   
155/200   risk = 0.07  time = 3211   
160/200   risk = 0.069  time = 3325   
165/200   risk = 0.069  time = 3442   
170/200   risk = 0.068  time = 3572   
175/200   risk = 0.068  time = 3687   
180/200   risk = 0.068  time = 3805   
185/200   risk = 0.067  time = 3925   
190/200   risk = 0.067  time = 4045   
195/200   risk = 0.067  time = 4170   
200/200   risk = 0.066  time = 4295   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.066


### [bt]: Job terminated successfully [batchtools job.id=2491]
### [bt]: Calculation finished!
