### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2221]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2221 (seed = 33636) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 1272   
 10/200   risk = 0.19  time = 2785   
 15/200   risk = 0.16  time = 4311   
 20/200   risk = 0.14  time = 5868   
 25/200   risk = 0.12  time = 7384   
 30/200   risk = 0.11  time = 8888   
 35/200   risk = 0.1  time = 10394   
 40/200   risk = 0.095  time = 11850   
 45/200   risk = 0.09  time = 13308   
 50/200   risk = 0.086  time = 14826   
 55/200   risk = 0.083  time = 16360   
 60/200   risk = 0.08  time = 17882   
 65/200   risk = 0.078  time = 19407   
 70/200   risk = 0.077  time = 20920   
 75/200   risk = 0.075  time = 22439   
 80/200   risk = 0.074  time = 23951   
 85/200   risk = 0.074  time = 25466   
 90/200   risk = 0.073  time = 26989   
 95/200   risk = 0.073  time = 28527   
100/200   risk = 0.072  time = 30049   
105/200   risk = 0.072  time = 31564   
110/200   risk = 0.071  time = 33085   
115/200   risk = 0.071  time = 34603   
120/200   risk = 0.071  time = 36125   
125/200   risk = 0.071  time = 37641   
130/200   risk = 0.07  time = 39176   
135/200   risk = 0.07  time = 40704   
140/200   risk = 0.07  time = 42223   
145/200   risk = 0.07  time = 43747   
150/200   risk = 0.07  time = 45306   
155/200   risk = 0.07  time = 46840   
160/200   risk = 0.07  time = 48367   
165/200   risk = 0.069  time = 49898   
170/200   risk = 0.069  time = 51425   
175/200   risk = 0.069  time = 52963   
180/200   risk = 0.069  time = 54491   
185/200   risk = 0.069  time = 56026   
190/200   risk = 0.069  time = 57555   
195/200   risk = 0.069  time = 59090   
200/200   risk = 0.069  time = 60624   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.069


### [bt]: Job terminated successfully [batchtools job.id=2221]
### [bt]: Calculation finished!
