### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6445]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6445 (seed = 37860) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.13  time = 484   
 10/200   risk = 0.089  time = 851   
 15/200   risk = 0.066  time = 1196   
 20/200   risk = 0.052  time = 1544   
 25/200   risk = 0.043  time = 1891   
 30/200   risk = 0.037  time = 2242   
 35/200   risk = 0.033  time = 2477   
 40/200   risk = 0.031  time = 2692   
 45/200   risk = 0.029  time = 2902   
 50/200   risk = 0.028  time = 3183   
 55/200   risk = 0.027  time = 3417   
 60/200   risk = 0.026  time = 3656   
 65/200   risk = 0.026  time = 4064   
 70/200   risk = 0.025  time = 4471   
 75/200   risk = 0.025  time = 4717   
 80/200   risk = 0.025  time = 4936   
 85/200   risk = 0.024  time = 5159   
 90/200   risk = 0.024  time = 5384   
 95/200   risk = 0.024  time = 5622   
100/200   risk = 0.024  time = 5842   
105/200   risk = 0.023  time = 6060   
110/200   risk = 0.023  time = 6279   
115/200   risk = 0.023  time = 6500   
120/200   risk = 0.023  time = 6728   
125/200   risk = 0.023  time = 6958   
130/200   risk = 0.023  time = 7192   
135/200   risk = 0.022  time = 7425   
140/200   risk = 0.022  time = 7677   
145/200   risk = 0.022  time = 7914   
150/200   risk = 0.022  time = 8156   
155/200   risk = 0.022  time = 8395   
160/200   risk = 0.022  time = 8638   
165/200   risk = 0.022  time = 8887   
170/200   risk = 0.022  time = 9276   
175/200   risk = 0.022  time = 9679   
180/200   risk = 0.021  time = 10082   
185/200   risk = 0.021  time = 10476   
190/200   risk = 0.021  time = 10877   
195/200   risk = 0.021  time = 11279   
200/200   risk = 0.021  time = 11689   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=6445]
### [bt]: Calculation finished!
