### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3357]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3357 (seed = 34772) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.24  time = 199   
 10/200   risk = 0.21  time = 306   
 15/200   risk = 0.18  time = 403   
 20/200   risk = 0.16  time = 500   
 25/200   risk = 0.15  time = 603   
 30/200   risk = 0.14  time = 703   
 35/200   risk = 0.13  time = 805   
 40/200   risk = 0.13  time = 910   
 45/200   risk = 0.12  time = 1010   
 50/200   risk = 0.12  time = 1112   
 55/200   risk = 0.12  time = 1216   
 60/200   risk = 0.12  time = 1324   
 65/200   risk = 0.11  time = 1466   
 70/200   risk = 0.11  time = 1648   
 75/200   risk = 0.11  time = 1787   
 80/200   risk = 0.11  time = 1927   
 85/200   risk = 0.11  time = 2098   
 90/200   risk = 0.11  time = 2218   
 95/200   risk = 0.11  time = 2330   
100/200   risk = 0.11  time = 2441   
105/200   risk = 0.11  time = 2577   
110/200   risk = 0.11  time = 2722   
115/200   risk = 0.11  time = 2855   
120/200   risk = 0.11  time = 3001   
125/200   risk = 0.11  time = 3129   
130/200   risk = 0.11  time = 3249   
135/200   risk = 0.11  time = 3368   
140/200   risk = 0.11  time = 3487   
145/200   risk = 0.11  time = 3611   
150/200   risk = 0.11  time = 3745   
155/200   risk = 0.11  time = 3863   
160/200   risk = 0.11  time = 3982   
165/200   risk = 0.11  time = 4103   
170/200   risk = 0.11  time = 4226   
175/200   risk = 0.11  time = 4355   
180/200   risk = 0.11  time = 4481   
185/200   risk = 0.11  time = 4613   
190/200   risk = 0.11  time = 4796   
195/200   risk = 0.11  time = 4945   
200/200   risk = 0.11  time = 5090   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.11


### [bt]: Job terminated successfully [batchtools job.id=3357]
### [bt]: Calculation finished!
