### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2510]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2510 (seed = 33925) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 517   
 10/200   risk = 0.19  time = 1132   
 15/200   risk = 0.16  time = 1693   
 20/200   risk = 0.14  time = 2317   
 25/200   risk = 0.13  time = 2962   
 30/200   risk = 0.12  time = 3569   
 35/200   risk = 0.11  time = 4179   
 40/200   risk = 0.1  time = 4792   
 45/200   risk = 0.097  time = 5384   
 50/200   risk = 0.092  time = 5980   
 55/200   risk = 0.089  time = 6565   
 60/200   risk = 0.086  time = 7169   
 65/200   risk = 0.083  time = 7781   
 70/200   risk = 0.081  time = 8411   
 75/200   risk = 0.079  time = 9032   
 80/200   risk = 0.078  time = 9642   
 85/200   risk = 0.076  time = 10232   
 90/200   risk = 0.075  time = 10839   
 95/200   risk = 0.074  time = 11492   
100/200   risk = 0.073  time = 12121   
105/200   risk = 0.072  time = 12737   
110/200   risk = 0.071  time = 13354   
115/200   risk = 0.07  time = 13957   
120/200   risk = 0.07  time = 14620   
125/200   risk = 0.069  time = 15230   
130/200   risk = 0.069  time = 15852   
135/200   risk = 0.068  time = 16484   
140/200   risk = 0.067  time = 17146   
145/200   risk = 0.067  time = 17832   
150/200   risk = 0.066  time = 18454   
155/200   risk = 0.066  time = 19107   
160/200   risk = 0.066  time = 19785   
165/200   risk = 0.065  time = 20418   
170/200   risk = 0.065  time = 21055   
175/200   risk = 0.064  time = 21686   
180/200   risk = 0.064  time = 22323   
185/200   risk = 0.064  time = 22964   
190/200   risk = 0.063  time = 23604   
195/200   risk = 0.063  time = 24250   
200/200   risk = 0.063  time = 24902   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.063


### [bt]: Job terminated successfully [batchtools job.id=2510]
### [bt]: Calculation finished!
