### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1752]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1752 (seed = 33167) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.25  time = 297   
 10/200   risk = 0.21  time = 508   
 15/200   risk = 0.18  time = 680   
 20/200   risk = 0.16  time = 844   
 25/200   risk = 0.15  time = 1004   
 30/200   risk = 0.13  time = 1166   
 35/200   risk = 0.13  time = 1332   
 40/200   risk = 0.12  time = 1505   
 45/200   risk = 0.11  time = 1661   
 50/200   risk = 0.11  time = 1824   
 55/200   risk = 0.11  time = 1984   
 60/200   risk = 0.1  time = 2144   
 65/200   risk = 0.1  time = 2312   
 70/200   risk = 0.098  time = 2484   
 75/200   risk = 0.096  time = 2659   
 80/200   risk = 0.095  time = 2843   
 85/200   risk = 0.094  time = 3016   
 90/200   risk = 0.092  time = 3185   
 95/200   risk = 0.091  time = 3356   
100/200   risk = 0.09  time = 3536   
105/200   risk = 0.09  time = 3723   
110/200   risk = 0.089  time = 3905   
115/200   risk = 0.088  time = 4086   
120/200   risk = 0.087  time = 4265   
125/200   risk = 0.087  time = 4448   
130/200   risk = 0.086  time = 4636   
135/200   risk = 0.086  time = 4825   
140/200   risk = 0.085  time = 5016   
145/200   risk = 0.085  time = 5205   
150/200   risk = 0.084  time = 5391   
155/200   risk = 0.084  time = 5581   
160/200   risk = 0.083  time = 5773   
165/200   risk = 0.083  time = 5968   
170/200   risk = 0.083  time = 6160   
175/200   risk = 0.082  time = 6360   
180/200   risk = 0.082  time = 6556   
185/200   risk = 0.082  time = 6762   
190/200   risk = 0.081  time = 6938   
195/200   risk = 0.081  time = 7136   
200/200   risk = 0.081  time = 7341   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.081


### [bt]: Job terminated successfully [batchtools job.id=1752]
### [bt]: Calculation finished!
