### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13474]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13474 (seed = 44889) ...
  1/200   risk = 0.091  time = 0   
  5/200   risk = 0.069  time = 418   
 10/200   risk = 0.051  time = 793   
 15/200   risk = 0.04  time = 1098   
 20/200   risk = 0.033  time = 1422   
 25/200   risk = 0.029  time = 1742   
 30/200   risk = 0.026  time = 2057   
 35/200   risk = 0.025  time = 2370   
 40/200   risk = 0.024  time = 2691   
 45/200   risk = 0.023  time = 3026   
 50/200   risk = 0.022  time = 3362   
 55/200   risk = 0.022  time = 3704   
 60/200   risk = 0.022  time = 4044   
 65/200   risk = 0.022  time = 4389   
 70/200   risk = 0.021  time = 4712   
 75/200   risk = 0.021  time = 5029   
 80/200   risk = 0.021  time = 5348   
 85/200   risk = 0.021  time = 5678   
 90/200   risk = 0.021  time = 6018   
 95/200   risk = 0.021  time = 6386   
100/200   risk = 0.021  time = 6711   
105/200   risk = 0.021  time = 7034   
110/200   risk = 0.021  time = 7368   
115/200   risk = 0.021  time = 7754   
120/200   risk = 0.021  time = 8101   
125/200   risk = 0.021  time = 8453   
130/200   risk = 0.021  time = 8791   
135/200   risk = 0.021  time = 9117   
140/200   risk = 0.021  time = 9384   
145/200   risk = 0.021  time = 9654   
150/200   risk = 0.021  time = 9918   
155/200   risk = 0.021  time = 10177   
160/200   risk = 0.021  time = 10440   
165/200   risk = 0.021  time = 10693   
170/200   risk = 0.021  time = 10944   
175/200   risk = 0.021  time = 11196   
180/200   risk = 0.021  time = 11450   
185/200   risk = 0.021  time = 11744   
190/200   risk = 0.021  time = 12043   
195/200   risk = 0.021  time = 12300   
200/200   risk = 0.021  time = 12560   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=13474]
### [bt]: Calculation finished!
