### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7615]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7615 (seed = 39030) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 392   
 10/200   risk = 0.087  time = 748   
 15/200   risk = 0.064  time = 1078   
 20/200   risk = 0.049  time = 1484   
 25/200   risk = 0.039  time = 1842   
 30/200   risk = 0.033  time = 2165   
 35/200   risk = 0.029  time = 2484   
 40/200   risk = 0.026  time = 2801   
 45/200   risk = 0.025  time = 3099   
 50/200   risk = 0.024  time = 3431   
 55/200   risk = 0.023  time = 3785   
 60/200   risk = 0.022  time = 4115   
 65/200   risk = 0.022  time = 4484   
 70/200   risk = 0.022  time = 4861   
 75/200   risk = 0.021  time = 5223   
 80/200   risk = 0.021  time = 5565   
 85/200   risk = 0.021  time = 5909   
 90/200   risk = 0.021  time = 6229   
 95/200   risk = 0.021  time = 6548   
100/200   risk = 0.021  time = 6881   
105/200   risk = 0.021  time = 7208   
110/200   risk = 0.021  time = 7544   
115/200   risk = 0.021  time = 7896   
120/200   risk = 0.021  time = 8231   
125/200   risk = 0.021  time = 8597   
130/200   risk = 0.021  time = 8965   
135/200   risk = 0.021  time = 9345   
140/200   risk = 0.021  time = 9716   
145/200   risk = 0.021  time = 10097   
150/200   risk = 0.02  time = 10472   
155/200   risk = 0.02  time = 10835   
160/200   risk = 0.02  time = 11216   
165/200   risk = 0.02  time = 11601   
170/200   risk = 0.02  time = 11974   
175/200   risk = 0.02  time = 12343   
180/200   risk = 0.02  time = 12690   
185/200   risk = 0.02  time = 13074   
190/200   risk = 0.02  time = 13454   
195/200   risk = 0.02  time = 13868   
200/200   risk = 0.02  time = 14254   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7615]
### [bt]: Calculation finished!
