### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8131]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8131 (seed = 39546) ...
  1/200   risk = 0.31  time = 0   
  5/200   risk = 0.22  time = 636   
 10/200   risk = 0.14  time = 1305   
 15/200   risk = 0.098  time = 1957   
 20/200   risk = 0.07  time = 2660   
 25/200   risk = 0.053  time = 3361   
 30/200   risk = 0.042  time = 4034   
 35/200   risk = 0.035  time = 4682   
 40/200   risk = 0.031  time = 5341   
 45/200   risk = 0.028  time = 6031   
 50/200   risk = 0.026  time = 6721   
 55/200   risk = 0.025  time = 7444   
 60/200   risk = 0.024  time = 8147   
 65/200   risk = 0.023  time = 8938   
 70/200   risk = 0.023  time = 9666   
 75/200   risk = 0.022  time = 10385   
 80/200   risk = 0.022  time = 11107   
 85/200   risk = 0.022  time = 11846   
 90/200   risk = 0.022  time = 12660   
 95/200   risk = 0.022  time = 13392   
100/200   risk = 0.021  time = 14109   
105/200   risk = 0.021  time = 14858   
110/200   risk = 0.021  time = 15603   
115/200   risk = 0.021  time = 16296   
120/200   risk = 0.021  time = 16965   
125/200   risk = 0.021  time = 17700   
130/200   risk = 0.021  time = 18453   
135/200   risk = 0.021  time = 19191   
140/200   risk = 0.021  time = 19931   
145/200   risk = 0.021  time = 20703   
150/200   risk = 0.021  time = 21452   
155/200   risk = 0.021  time = 22267   
160/200   risk = 0.021  time = 23025   
165/200   risk = 0.021  time = 23782   
170/200   risk = 0.021  time = 24534   
175/200   risk = 0.021  time = 25288   
180/200   risk = 0.021  time = 26093   
185/200   risk = 0.021  time = 26868   
190/200   risk = 0.021  time = 27633   
195/200   risk = 0.021  time = 28377   
200/200   risk = 0.021  time = 29148   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8131]
### [bt]: Calculation finished!
