### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7154]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7154 (seed = 38569) ...
  1/200   risk = 0.18  time = 0   
  5/200   risk = 0.13  time = 3107   
 10/200   risk = 0.094  time = 6498   
 15/200   risk = 0.07  time = 10613   
 20/200   risk = 0.054  time = 19016   
 25/200   risk = 0.044  time = 22563   
 30/200   risk = 0.038  time = 25787   
 35/200   risk = 0.034  time = 28975   
 40/200   risk = 0.031  time = 32014   
 45/200   risk = 0.029  time = 35080   
 50/200   risk = 0.028  time = 38192   
 55/200   risk = 0.027  time = 49211   
 60/200   risk = 0.026  time = 52719   
 65/200   risk = 0.025  time = 56124   
 70/200   risk = 0.025  time = 59267   
 75/200   risk = 0.024  time = 62373   
 80/200   risk = 0.024  time = 65510   
 85/200   risk = 0.024  time = 68639   
 90/200   risk = 0.023  time = 71771   
 95/200   risk = 0.023  time = 74962   
100/200   risk = 0.023  time = 78084   
105/200   risk = 0.023  time = 83708   
110/200   risk = 0.023  time = 87024   
115/200   risk = 0.023  time = 90289   
120/200   risk = 0.022  time = 101284   
125/200   risk = 0.022  time = 104571   
130/200   risk = 0.022  time = 107957   
135/200   risk = 0.022  time = 113751   
140/200   risk = 0.022  time = 116865   
145/200   risk = 0.022  time = 120061   
150/200   risk = 0.022  time = 123360   
155/200   risk = 0.022  time = 126550   
160/200   risk = 0.022  time = 130243   
165/200   risk = 0.021  time = 134153   
170/200   risk = 0.021  time = 138159   
175/200   risk = 0.021  time = 142145   
180/200   risk = 0.021  time = 146357   
185/200   risk = 0.021  time = 151566   
190/200   risk = 0.021  time = 157264   
195/200   risk = 0.021  time = 163218   
200/200   risk = 0.021  time = 169013   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=7154]
### [bt]: Calculation finished!
