### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11490]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11490 (seed = 42905) ...
  1/200   risk = 0.08  time = 0   
  5/200   risk = 0.062  time = 471   
 10/200   risk = 0.048  time = 990   
 15/200   risk = 0.039  time = 1403   
 20/200   risk = 0.033  time = 1818   
 25/200   risk = 0.029  time = 2228   
 30/200   risk = 0.027  time = 2653   
 35/200   risk = 0.025  time = 3084   
 40/200   risk = 0.024  time = 3508   
 45/200   risk = 0.023  time = 3924   
 50/200   risk = 0.022  time = 4333   
 55/200   risk = 0.022  time = 4764   
 60/200   risk = 0.022  time = 5199   
 65/200   risk = 0.022  time = 5626   
 70/200   risk = 0.021  time = 6050   
 75/200   risk = 0.021  time = 6487   
 80/200   risk = 0.021  time = 6927   
 85/200   risk = 0.021  time = 7365   
 90/200   risk = 0.021  time = 7801   
 95/200   risk = 0.021  time = 8272   
100/200   risk = 0.021  time = 8698   
105/200   risk = 0.021  time = 9144   
110/200   risk = 0.021  time = 9579   
115/200   risk = 0.021  time = 10022   
120/200   risk = 0.021  time = 10470   
125/200   risk = 0.021  time = 10917   
130/200   risk = 0.021  time = 11404   
135/200   risk = 0.021  time = 11878   
140/200   risk = 0.021  time = 12338   
145/200   risk = 0.021  time = 12774   
150/200   risk = 0.021  time = 13207   
155/200   risk = 0.021  time = 13655   
160/200   risk = 0.021  time = 14102   
165/200   risk = 0.021  time = 14561   
170/200   risk = 0.021  time = 15046   
175/200   risk = 0.021  time = 15517   
180/200   risk = 0.021  time = 15984   
185/200   risk = 0.02  time = 16444   
190/200   risk = 0.02  time = 16892   
195/200   risk = 0.02  time = 17341   
200/200   risk = 0.02  time = 17783   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11490]
### [bt]: Calculation finished!
