### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3892]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3892 (seed = 35307) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.21  time = 488   
 10/200   risk = 0.15  time = 979   
 15/200   risk = 0.11  time = 1408   
 20/200   risk = 0.089  time = 1809   
 25/200   risk = 0.072  time = 2203   
 30/200   risk = 0.061  time = 2610   
 35/200   risk = 0.053  time = 3014   
 40/200   risk = 0.047  time = 3415   
 45/200   risk = 0.043  time = 3811   
 50/200   risk = 0.04  time = 4227   
 55/200   risk = 0.038  time = 4657   
 60/200   risk = 0.036  time = 5066   
 65/200   risk = 0.035  time = 5470   
 70/200   risk = 0.033  time = 5884   
 75/200   risk = 0.032  time = 6287   
 80/200   risk = 0.032  time = 6684   
 85/200   risk = 0.031  time = 7082   
 90/200   risk = 0.03  time = 7477   
 95/200   risk = 0.03  time = 7885   
100/200   risk = 0.029  time = 8281   
105/200   risk = 0.029  time = 8682   
110/200   risk = 0.028  time = 9115   
115/200   risk = 0.028  time = 9552   
120/200   risk = 0.028  time = 9953   
125/200   risk = 0.027  time = 10345   
130/200   risk = 0.027  time = 10762   
135/200   risk = 0.027  time = 11178   
140/200   risk = 0.026  time = 11591   
145/200   risk = 0.026  time = 11999   
150/200   risk = 0.026  time = 12422   
155/200   risk = 0.026  time = 12844   
160/200   risk = 0.026  time = 13237   
165/200   risk = 0.025  time = 13635   
170/200   risk = 0.025  time = 14035   
175/200   risk = 0.025  time = 14467   
180/200   risk = 0.025  time = 14883   
185/200   risk = 0.025  time = 15272   
190/200   risk = 0.025  time = 15661   
195/200   risk = 0.025  time = 16046   
200/200   risk = 0.024  time = 16442   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.024


### [bt]: Job terminated successfully [batchtools job.id=3892]
### [bt]: Calculation finished!
