### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3685]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3685 (seed = 35100) ...
  1/200   risk = 0.3  time = 0   
  5/200   risk = 0.22  time = 243   
 10/200   risk = 0.16  time = 350   
 15/200   risk = 0.12  time = 444   
 20/200   risk = 0.093  time = 539   
 25/200   risk = 0.075  time = 634   
 30/200   risk = 0.064  time = 734   
 35/200   risk = 0.056  time = 832   
 40/200   risk = 0.05  time = 935   
 45/200   risk = 0.046  time = 1041   
 50/200   risk = 0.043  time = 1147   
 55/200   risk = 0.041  time = 1259   
 60/200   risk = 0.039  time = 1411   
 65/200   risk = 0.038  time = 1531   
 70/200   risk = 0.037  time = 1658   
 75/200   risk = 0.036  time = 1783   
 80/200   risk = 0.035  time = 1896   
 85/200   risk = 0.034  time = 2011   
 90/200   risk = 0.034  time = 2135   
 95/200   risk = 0.033  time = 2256   
100/200   risk = 0.033  time = 2388   
105/200   risk = 0.032  time = 2509   
110/200   risk = 0.032  time = 2642   
115/200   risk = 0.031  time = 2764   
120/200   risk = 0.031  time = 2895   
125/200   risk = 0.031  time = 3020   
130/200   risk = 0.031  time = 3153   
135/200   risk = 0.03  time = 3286   
140/200   risk = 0.03  time = 3417   
145/200   risk = 0.03  time = 3547   
150/200   risk = 0.03  time = 3668   
155/200   risk = 0.03  time = 3811   
160/200   risk = 0.029  time = 3940   
165/200   risk = 0.029  time = 4079   
170/200   risk = 0.029  time = 4213   
175/200   risk = 0.029  time = 4354   
180/200   risk = 0.029  time = 4489   
185/200   risk = 0.029  time = 4650   
190/200   risk = 0.029  time = 4799   
195/200   risk = 0.028  time = 4945   
200/200   risk = 0.028  time = 5087   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.028


### [bt]: Job terminated successfully [batchtools job.id=3685]
### [bt]: Calculation finished!
