### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5662]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5662 (seed = 37077) ...
  1/200   risk = 0.26  time = 0   
  5/200   risk = 0.19  time = 182   
 10/200   risk = 0.13  time = 356   
 15/200   risk = 0.097  time = 447   
 20/200   risk = 0.073  time = 521   
 25/200   risk = 0.058  time = 592   
 30/200   risk = 0.047  time = 665   
 35/200   risk = 0.04  time = 737   
 40/200   risk = 0.035  time = 814   
 45/200   risk = 0.032  time = 893   
 50/200   risk = 0.03  time = 979   
 55/200   risk = 0.028  time = 1064   
 60/200   risk = 0.027  time = 1145   
 65/200   risk = 0.026  time = 1227   
 70/200   risk = 0.026  time = 1306   
 75/200   risk = 0.025  time = 1397   
 80/200   risk = 0.025  time = 1474   
 85/200   risk = 0.025  time = 1550   
 90/200   risk = 0.025  time = 1627   
 95/200   risk = 0.024  time = 1702   
100/200   risk = 0.024  time = 1784   
105/200   risk = 0.024  time = 1866   
110/200   risk = 0.024  time = 1949   
115/200   risk = 0.024  time = 2032   
120/200   risk = 0.024  time = 2116   
125/200   risk = 0.024  time = 2201   
130/200   risk = 0.024  time = 2290   
135/200   risk = 0.024  time = 2376   
140/200   risk = 0.024  time = 2465   
145/200   risk = 0.024  time = 2556   
150/200   risk = 0.024  time = 2663   
155/200   risk = 0.024  time = 2759   
160/200   risk = 0.024  time = 2851   
165/200   risk = 0.024  time = 2942   
170/200   risk = 0.024  time = 3036   
175/200   risk = 0.024  time = 3131   
180/200   risk = 0.024  time = 3224   
185/200   risk = 0.024  time = 3324   
190/200   risk = 0.024  time = 3436   
195/200   risk = 0.024  time = 3529   
200/200   risk = 0.024  time = 3625   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.024


### [bt]: Job terminated successfully [batchtools job.id=5662]
### [bt]: Calculation finished!
