### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9204]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9204 (seed = 40619) ...
  1/200   risk = 0.1  time = 0   
  5/200   risk = 0.077  time = 272   
 10/200   risk = 0.057  time = 546   
 15/200   risk = 0.044  time = 812   
 20/200   risk = 0.036  time = 1081   
 25/200   risk = 0.031  time = 1349   
 30/200   risk = 0.028  time = 1615   
 35/200   risk = 0.026  time = 1883   
 40/200   risk = 0.024  time = 2153   
 45/200   risk = 0.023  time = 2434   
 50/200   risk = 0.023  time = 2699   
 55/200   risk = 0.022  time = 2965   
 60/200   risk = 0.022  time = 3233   
 65/200   risk = 0.021  time = 3504   
 70/200   risk = 0.021  time = 3768   
 75/200   risk = 0.021  time = 4032   
 80/200   risk = 0.021  time = 4300   
 85/200   risk = 0.021  time = 4567   
 90/200   risk = 0.02  time = 4834   
 95/200   risk = 0.02  time = 5101   
100/200   risk = 0.02  time = 5370   
105/200   risk = 0.02  time = 5648   
110/200   risk = 0.02  time = 5921   
115/200   risk = 0.02  time = 6197   
120/200   risk = 0.02  time = 6475   
125/200   risk = 0.02  time = 6750   
130/200   risk = 0.019  time = 7027   
135/200   risk = 0.019  time = 7306   
140/200   risk = 0.019  time = 7585   
145/200   risk = 0.019  time = 7866   
150/200   risk = 0.019  time = 8145   
155/200   risk = 0.019  time = 8426   
160/200   risk = 0.019  time = 8715   
165/200   risk = 0.019  time = 9007   
170/200   risk = 0.019  time = 9309   
175/200   risk = 0.019  time = 9585   
180/200   risk = 0.019  time = 9861   
185/200   risk = 0.019  time = 10141   
190/200   risk = 0.019  time = 10441   
195/200   risk = 0.019  time = 10729   
200/200   risk = 0.019  time = 11046   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.019


### [bt]: Job terminated successfully [batchtools job.id=9204]
### [bt]: Calculation finished!
