### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4880]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4880 (seed = 36295) ...
  1/200   risk = 0.092  time = 0   
  5/200   risk = 0.071  time = 115   
 10/200   risk = 0.054  time = 187   
 15/200   risk = 0.043  time = 248   
 20/200   risk = 0.036  time = 309   
 25/200   risk = 0.031  time = 369   
 30/200   risk = 0.028  time = 430   
 35/200   risk = 0.026  time = 492   
 40/200   risk = 0.024  time = 557   
 45/200   risk = 0.023  time = 623   
 50/200   risk = 0.022  time = 696   
 55/200   risk = 0.022  time = 769   
 60/200   risk = 0.021  time = 841   
 65/200   risk = 0.021  time = 913   
 70/200   risk = 0.021  time = 982   
 75/200   risk = 0.021  time = 1053   
 80/200   risk = 0.021  time = 1122   
 85/200   risk = 0.021  time = 1191   
 90/200   risk = 0.02  time = 1269   
 95/200   risk = 0.02  time = 1341   
100/200   risk = 0.02  time = 1412   
105/200   risk = 0.02  time = 1484   
110/200   risk = 0.02  time = 1560   
115/200   risk = 0.02  time = 1635   
120/200   risk = 0.02  time = 1710   
125/200   risk = 0.02  time = 1786   
130/200   risk = 0.02  time = 1867   
135/200   risk = 0.02  time = 1952   
140/200   risk = 0.02  time = 2031   
145/200   risk = 0.02  time = 2110   
150/200   risk = 0.02  time = 2194   
155/200   risk = 0.02  time = 2312   
160/200   risk = 0.02  time = 2397   
165/200   risk = 0.02  time = 2480   
170/200   risk = 0.02  time = 2576   
175/200   risk = 0.02  time = 2663   
180/200   risk = 0.02  time = 2749   
185/200   risk = 0.02  time = 2841   
190/200   risk = 0.02  time = 2931   
195/200   risk = 0.02  time = 3020   
200/200   risk = 0.02  time = 3111   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=4880]
### [bt]: Calculation finished!
