### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12200]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12200 (seed = 43615) ...
  1/200   risk = 0.21  time = 0   
  5/200   risk = 0.15  time = 214   
 10/200   risk = 0.098  time = 365   
 15/200   risk = 0.067  time = 491   
 20/200   risk = 0.049  time = 623   
 25/200   risk = 0.037  time = 751   
 30/200   risk = 0.03  time = 882   
 35/200   risk = 0.026  time = 1015   
 40/200   risk = 0.023  time = 1162   
 45/200   risk = 0.021  time = 1303   
 50/200   risk = 0.02  time = 1434   
 55/200   risk = 0.02  time = 1572   
 60/200   risk = 0.019  time = 1718   
 65/200   risk = 0.019  time = 1868   
 70/200   risk = 0.019  time = 2023   
 75/200   risk = 0.018  time = 2169   
 80/200   risk = 0.018  time = 2282   
 85/200   risk = 0.018  time = 2422   
 90/200   risk = 0.018  time = 2572   
 95/200   risk = 0.018  time = 2720   
100/200   risk = 0.018  time = 2877   
105/200   risk = 0.018  time = 3019   
110/200   risk = 0.018  time = 3177   
115/200   risk = 0.018  time = 3319   
120/200   risk = 0.018  time = 3472   
125/200   risk = 0.018  time = 3618   
130/200   risk = 0.018  time = 3767   
135/200   risk = 0.018  time = 3921   
140/200   risk = 0.018  time = 4085   
145/200   risk = 0.018  time = 4244   
150/200   risk = 0.018  time = 4396   
155/200   risk = 0.018  time = 4547   
160/200   risk = 0.018  time = 4697   
165/200   risk = 0.018  time = 4848   
170/200   risk = 0.018  time = 4999   
175/200   risk = 0.018  time = 5160   
180/200   risk = 0.018  time = 5311   
185/200   risk = 0.018  time = 5470   
190/200   risk = 0.018  time = 5636   
195/200   risk = 0.018  time = 5788   
200/200   risk = 0.018  time = 5942   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.018


### [bt]: Job terminated successfully [batchtools job.id=12200]
### [bt]: Calculation finished!
