### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=161]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 161 (seed = 31576) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.22  time = 182   
 10/200   risk = 0.17  time = 291   
 15/200   risk = 0.14  time = 372   
 20/200   risk = 0.11  time = 447   
 25/200   risk = 0.098  time = 522   
 30/200   risk = 0.086  time = 598   
 35/200   risk = 0.077  time = 673   
 40/200   risk = 0.071  time = 748   
 45/200   risk = 0.066  time = 823   
 50/200   risk = 0.062  time = 899   
 55/200   risk = 0.059  time = 976   
 60/200   risk = 0.057  time = 1053   
 65/200   risk = 0.055  time = 1132   
 70/200   risk = 0.053  time = 1211   
 75/200   risk = 0.052  time = 1290   
 80/200   risk = 0.051  time = 1370   
 85/200   risk = 0.05  time = 1452   
 90/200   risk = 0.049  time = 1544   
 95/200   risk = 0.048  time = 1624   
100/200   risk = 0.047  time = 1704   
105/200   risk = 0.047  time = 1785   
110/200   risk = 0.046  time = 1865   
115/200   risk = 0.046  time = 1947   
120/200   risk = 0.045  time = 2029   
125/200   risk = 0.045  time = 2182   
130/200   risk = 0.044  time = 2272   
135/200   risk = 0.044  time = 2356   
140/200   risk = 0.044  time = 2442   
145/200   risk = 0.043  time = 2527   
150/200   risk = 0.043  time = 2614   
155/200   risk = 0.043  time = 2701   
160/200   risk = 0.043  time = 2789   
165/200   risk = 0.043  time = 2877   
170/200   risk = 0.042  time = 2967   
175/200   risk = 0.042  time = 3056   
180/200   risk = 0.042  time = 3148   
185/200   risk = 0.042  time = 3240   
190/200   risk = 0.042  time = 3333   
195/200   risk = 0.042  time = 3426   
200/200   risk = 0.041  time = 3520   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.041


### [bt]: Job terminated successfully [batchtools job.id=161]
### [bt]: Calculation finished!
