### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11689]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11689 (seed = 43104) ...
  1/200   risk = 0.069  time = 0   
  5/200   risk = 0.054  time = 153   
 10/200   risk = 0.042  time = 256   
 15/200   risk = 0.035  time = 346   
 20/200   risk = 0.03  time = 437   
 25/200   risk = 0.027  time = 526   
 30/200   risk = 0.025  time = 620   
 35/200   risk = 0.023  time = 714   
 40/200   risk = 0.022  time = 814   
 45/200   risk = 0.022  time = 911   
 50/200   risk = 0.022  time = 1009   
 55/200   risk = 0.021  time = 1119   
 60/200   risk = 0.021  time = 1225   
 65/200   risk = 0.021  time = 1326   
 70/200   risk = 0.021  time = 1426   
 75/200   risk = 0.021  time = 1522   
 80/200   risk = 0.021  time = 1623   
 85/200   risk = 0.021  time = 1720   
 90/200   risk = 0.021  time = 1822   
 95/200   risk = 0.021  time = 1924   
100/200   risk = 0.021  time = 2026   
105/200   risk = 0.021  time = 2129   
110/200   risk = 0.021  time = 2256   
115/200   risk = 0.021  time = 2362   
120/200   risk = 0.021  time = 2474   
125/200   risk = 0.021  time = 2584   
130/200   risk = 0.021  time = 2696   
135/200   risk = 0.021  time = 2806   
140/200   risk = 0.021  time = 2924   
145/200   risk = 0.021  time = 3035   
150/200   risk = 0.021  time = 3161   
155/200   risk = 0.021  time = 3275   
160/200   risk = 0.021  time = 3400   
165/200   risk = 0.021  time = 3515   
170/200   risk = 0.021  time = 3639   
175/200   risk = 0.021  time = 3756   
180/200   risk = 0.021  time = 3883   
185/200   risk = 0.021  time = 4022   
190/200   risk = 0.021  time = 4145   
195/200   risk = 0.021  time = 4273   
200/200   risk = 0.021  time = 4392   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=11689]
### [bt]: Calculation finished!
