### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11395]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11395 (seed = 42810) ...
  1/200   risk = 0.075  time = 0   
  5/200   risk = 0.059  time = 173   
 10/200   risk = 0.046  time = 276   
 15/200   risk = 0.037  time = 366   
 20/200   risk = 0.031  time = 456   
 25/200   risk = 0.028  time = 550   
 30/200   risk = 0.025  time = 646   
 35/200   risk = 0.024  time = 744   
 40/200   risk = 0.023  time = 840   
 45/200   risk = 0.022  time = 941   
 50/200   risk = 0.022  time = 1036   
 55/200   risk = 0.021  time = 1131   
 60/200   risk = 0.021  time = 1234   
 65/200   risk = 0.021  time = 1336   
 70/200   risk = 0.021  time = 1464   
 75/200   risk = 0.02  time = 1633   
 80/200   risk = 0.02  time = 1799   
 85/200   risk = 0.02  time = 1959   
 90/200   risk = 0.02  time = 2110   
 95/200   risk = 0.02  time = 2274   
100/200   risk = 0.02  time = 2428   
105/200   risk = 0.02  time = 2581   
110/200   risk = 0.02  time = 2744   
115/200   risk = 0.02  time = 2909   
120/200   risk = 0.02  time = 3067   
125/200   risk = 0.02  time = 3226   
130/200   risk = 0.02  time = 3397   
135/200   risk = 0.02  time = 3562   
140/200   risk = 0.02  time = 3719   
145/200   risk = 0.02  time = 3881   
150/200   risk = 0.02  time = 4041   
155/200   risk = 0.02  time = 4211   
160/200   risk = 0.02  time = 4381   
165/200   risk = 0.02  time = 4547   
170/200   risk = 0.02  time = 4734   
175/200   risk = 0.02  time = 4906   
180/200   risk = 0.02  time = 5070   
185/200   risk = 0.02  time = 5240   
190/200   risk = 0.02  time = 5404   
195/200   risk = 0.02  time = 5583   
200/200   risk = 0.02  time = 5754   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11395]
### [bt]: Calculation finished!
