### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12614]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12614 (seed = 44029) ...
  1/200   risk = 0.24  time = 0   
  5/200   risk = 0.17  time = 2101   
 10/200   risk = 0.11  time = 4621   
 15/200   risk = 0.077  time = 7174   
 20/200   risk = 0.055  time = 9741   
 25/200   risk = 0.042  time = 12329   
 30/200   risk = 0.034  time = 15033   
 35/200   risk = 0.029  time = 17701   
 40/200   risk = 0.026  time = 20408   
 45/200   risk = 0.024  time = 23098   
 50/200   risk = 0.023  time = 25729   
 55/200   risk = 0.022  time = 28300   
 60/200   risk = 0.022  time = 30913   
 65/200   risk = 0.021  time = 33536   
 70/200   risk = 0.021  time = 36168   
 75/200   risk = 0.021  time = 38555   
 80/200   risk = 0.021  time = 40988   
 85/200   risk = 0.021  time = 43385   
 90/200   risk = 0.021  time = 45738   
 95/200   risk = 0.021  time = 48090   
100/200   risk = 0.021  time = 50500   
105/200   risk = 0.02  time = 52909   
110/200   risk = 0.02  time = 55256   
115/200   risk = 0.02  time = 56838   
120/200   risk = 0.02  time = 58284   
125/200   risk = 0.02  time = 59683   
130/200   risk = 0.02  time = 61091   
135/200   risk = 0.02  time = 62462   
140/200   risk = 0.02  time = 63831   
145/200   risk = 0.02  time = 65240   
150/200   risk = 0.02  time = 66636   
155/200   risk = 0.02  time = 68033   
160/200   risk = 0.02  time = 69414   
165/200   risk = 0.02  time = 70840   
170/200   risk = 0.02  time = 72250   
175/200   risk = 0.02  time = 73659   
180/200   risk = 0.02  time = 75073   
185/200   risk = 0.02  time = 76459   
190/200   risk = 0.02  time = 77832   
195/200   risk = 0.02  time = 79198   
200/200   risk = 0.02  time = 80563   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=12614]
### [bt]: Calculation finished!
