### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4252]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4252 (seed = 35667) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.15  time = 492   
 10/200   risk = 0.11  time = 1082   
 15/200   risk = 0.082  time = 1547   
 20/200   risk = 0.065  time = 2014   
 25/200   risk = 0.053  time = 2476   
 30/200   risk = 0.045  time = 2939   
 35/200   risk = 0.04  time = 3402   
 40/200   risk = 0.036  time = 3886   
 45/200   risk = 0.034  time = 4378   
 50/200   risk = 0.032  time = 4890   
 55/200   risk = 0.03  time = 5374   
 60/200   risk = 0.029  time = 5853   
 65/200   risk = 0.028  time = 6326   
 70/200   risk = 0.028  time = 6794   
 75/200   risk = 0.027  time = 7264   
 80/200   risk = 0.026  time = 7736   
 85/200   risk = 0.026  time = 8240   
 90/200   risk = 0.026  time = 8716   
 95/200   risk = 0.025  time = 9190   
100/200   risk = 0.025  time = 9679   
105/200   risk = 0.025  time = 10177   
110/200   risk = 0.025  time = 10677   
115/200   risk = 0.024  time = 11173   
120/200   risk = 0.024  time = 11701   
125/200   risk = 0.024  time = 12203   
130/200   risk = 0.024  time = 12707   
135/200   risk = 0.024  time = 13211   
140/200   risk = 0.024  time = 13719   
145/200   risk = 0.024  time = 14225   
150/200   risk = 0.024  time = 14732   
155/200   risk = 0.023  time = 15262   
160/200   risk = 0.023  time = 15777   
165/200   risk = 0.023  time = 16288   
170/200   risk = 0.023  time = 16808   
175/200   risk = 0.023  time = 17302   
180/200   risk = 0.023  time = 17815   
185/200   risk = 0.023  time = 18348   
190/200   risk = 0.023  time = 18866   
195/200   risk = 0.023  time = 19387   
200/200   risk = 0.023  time = 19923   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=4252]
### [bt]: Calculation finished!
