### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2905]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2905 (seed = 34320) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 673   
 10/200   risk = 0.2  time = 1336   
 15/200   risk = 0.17  time = 1864   
 20/200   risk = 0.15  time = 2510   
 25/200   risk = 0.13  time = 3165   
 30/200   risk = 0.12  time = 3634   
 35/200   risk = 0.11  time = 4036   
 40/200   risk = 0.1  time = 4460   
 45/200   risk = 0.098  time = 5063   
 50/200   risk = 0.093  time = 5732   
 55/200   risk = 0.089  time = 6444   
 60/200   risk = 0.086  time = 7134   
 65/200   risk = 0.084  time = 7821   
 70/200   risk = 0.082  time = 8501   
 75/200   risk = 0.08  time = 9188   
 80/200   risk = 0.079  time = 9859   
 85/200   risk = 0.077  time = 10466   
 90/200   risk = 0.076  time = 11064   
 95/200   risk = 0.075  time = 11686   
100/200   risk = 0.075  time = 12306   
105/200   risk = 0.074  time = 12941   
110/200   risk = 0.073  time = 13603   
115/200   risk = 0.073  time = 14283   
120/200   risk = 0.072  time = 14936   
125/200   risk = 0.072  time = 15665   
130/200   risk = 0.071  time = 16380   
135/200   risk = 0.071  time = 17020   
140/200   risk = 0.071  time = 17727   
145/200   risk = 0.07  time = 18399   
150/200   risk = 0.07  time = 19110   
155/200   risk = 0.07  time = 19840   
160/200   risk = 0.069  time = 20531   
165/200   risk = 0.069  time = 21204   
170/200   risk = 0.069  time = 21888   
175/200   risk = 0.069  time = 22555   
180/200   risk = 0.068  time = 23235   
185/200   risk = 0.068  time = 23886   
190/200   risk = 0.068  time = 24546   
195/200   risk = 0.068  time = 25229   
200/200   risk = 0.068  time = 25909   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.068


### [bt]: Job terminated successfully [batchtools job.id=2905]
### [bt]: Calculation finished!
