### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4672]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4672 (seed = 36087) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 422   
 10/200   risk = 0.085  time = 726   
 15/200   risk = 0.065  time = 1018   
 20/200   risk = 0.052  time = 1339   
 25/200   risk = 0.043  time = 1695   
 30/200   risk = 0.037  time = 2066   
 35/200   risk = 0.033  time = 2395   
 40/200   risk = 0.03  time = 2717   
 45/200   risk = 0.029  time = 3033   
 50/200   risk = 0.027  time = 3402   
 55/200   risk = 0.026  time = 3720   
 60/200   risk = 0.026  time = 4101   
 65/200   risk = 0.025  time = 4454   
 70/200   risk = 0.025  time = 4774   
 75/200   risk = 0.024  time = 5093   
 80/200   risk = 0.024  time = 5412   
 85/200   risk = 0.024  time = 5731   
 90/200   risk = 0.024  time = 6055   
 95/200   risk = 0.023  time = 6379   
100/200   risk = 0.023  time = 6717   
105/200   risk = 0.023  time = 7030   
110/200   risk = 0.023  time = 7375   
115/200   risk = 0.023  time = 7698   
120/200   risk = 0.023  time = 8030   
125/200   risk = 0.023  time = 8361   
130/200   risk = 0.023  time = 8687   
135/200   risk = 0.023  time = 9005   
140/200   risk = 0.023  time = 9322   
145/200   risk = 0.023  time = 9704   
150/200   risk = 0.023  time = 10065   
155/200   risk = 0.023  time = 10396   
160/200   risk = 0.022  time = 10716   
165/200   risk = 0.022  time = 11036   
170/200   risk = 0.022  time = 11361   
175/200   risk = 0.022  time = 11684   
180/200   risk = 0.022  time = 12016   
185/200   risk = 0.022  time = 12347   
190/200   risk = 0.022  time = 12679   
195/200   risk = 0.022  time = 13012   
200/200   risk = 0.022  time = 13365   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=4672]
### [bt]: Calculation finished!
