### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6052]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6052 (seed = 37467) ...
  1/200   risk = 0.22  time = 0   
  5/200   risk = 0.16  time = 216   
 10/200   risk = 0.11  time = 336   
 15/200   risk = 0.083  time = 460   
 20/200   risk = 0.064  time = 571   
 25/200   risk = 0.051  time = 690   
 30/200   risk = 0.044  time = 801   
 35/200   risk = 0.038  time = 916   
 40/200   risk = 0.035  time = 1037   
 45/200   risk = 0.033  time = 1152   
 50/200   risk = 0.031  time = 1277   
 55/200   risk = 0.03  time = 1415   
 60/200   risk = 0.03  time = 1541   
 65/200   risk = 0.029  time = 1673   
 70/200   risk = 0.029  time = 1854   
 75/200   risk = 0.028  time = 2000   
 80/200   risk = 0.028  time = 2123   
 85/200   risk = 0.028  time = 2258   
 90/200   risk = 0.028  time = 2381   
 95/200   risk = 0.027  time = 2519   
100/200   risk = 0.027  time = 2648   
105/200   risk = 0.027  time = 2779   
110/200   risk = 0.027  time = 2906   
115/200   risk = 0.027  time = 3039   
120/200   risk = 0.027  time = 3169   
125/200   risk = 0.027  time = 3311   
130/200   risk = 0.026  time = 3478   
135/200   risk = 0.026  time = 3620   
140/200   risk = 0.026  time = 3782   
145/200   risk = 0.026  time = 3931   
150/200   risk = 0.026  time = 4118   
155/200   risk = 0.026  time = 4264   
160/200   risk = 0.026  time = 4423   
165/200   risk = 0.026  time = 4569   
170/200   risk = 0.026  time = 4725   
175/200   risk = 0.026  time = 4886   
180/200   risk = 0.026  time = 5043   
185/200   risk = 0.025  time = 5208   
190/200   risk = 0.025  time = 5365   
195/200   risk = 0.025  time = 5534   
200/200   risk = 0.025  time = 5693   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.025


### [bt]: Job terminated successfully [batchtools job.id=6052]
### [bt]: Calculation finished!
