### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11176]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11176 (seed = 42591) ...
  1/200   risk = 0.13  time = 0   
  5/200   risk = 0.093  time = 4696   
 10/200   risk = 0.066  time = 15269   
 15/200   risk = 0.05  time = 18694   
 20/200   risk = 0.04  time = 22223   
 25/200   risk = 0.033  time = 25277   
 30/200   risk = 0.029  time = 28300   
 35/200   risk = 0.026  time = 31514   
 40/200   risk = 0.025  time = 35102   
 45/200   risk = 0.024  time = 44276   
 50/200   risk = 0.023  time = 48041   
 55/200   risk = 0.022  time = 52080   
 60/200   risk = 0.022  time = 55836   
 65/200   risk = 0.022  time = 59830   
 70/200   risk = 0.022  time = 63481   
 75/200   risk = 0.022  time = 72967   
 80/200   risk = 0.021  time = 76208   
 85/200   risk = 0.021  time = 79600   
 90/200   risk = 0.021  time = 83005   
 95/200   risk = 0.021  time = 87043   
100/200   risk = 0.021  time = 90753   
105/200   risk = 0.021  time = 95999   
110/200   risk = 0.021  time = 101888   
115/200   risk = 0.021  time = 105388   
120/200   risk = 0.021  time = 109151   
125/200   risk = 0.021  time = 113136   
130/200   risk = 0.021  time = 117353   
135/200   risk = 0.021  time = 122833   
140/200   risk = 0.021  time = 129390   
145/200   risk = 0.021  time = 135181   
150/200   risk = 0.021  time = 140766   
155/200   risk = 0.021  time = 147053   
160/200   risk = 0.02  time = 153138   
165/200   risk = 0.02  time = 159538   
170/200   risk = 0.02  time = 165788   
175/200   risk = 0.02  time = 171053   
180/200   risk = 0.02  time = 177213   
185/200   risk = 0.02  time = 181803   
190/200   risk = 0.02  time = 186157   
195/200   risk = 0.02  time = 190241   
200/200   risk = 0.02  time = 194734   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11176]
### [bt]: Calculation finished!
